date,gt_index,isPartial,stock
2013-01-01,38.0,False,ADP
2013-01-02,81.0,False,ADP
2013-01-03,85.0,False,ADP
2013-01-04,93.0,False,ADP
2013-01-05,50.0,False,ADP
2013-01-06,40.0,False,ADP
2013-01-07,77.0,False,ADP
2013-01-08,72.0,False,ADP
2013-01-09,77.0,False,ADP
2013-01-10,93.0,False,ADP
2013-01-11,93.0,False,ADP
2013-01-12,51.0,False,ADP
2013-01-13,44.0,False,ADP
2013-01-14,83.0,False,ADP
2013-01-15,92.0,False,ADP
2013-01-16,87.0,False,ADP
2013-01-17,93.0,False,ADP
2013-01-18,100.0,False,ADP
2013-01-19,66.0,False,ADP
2013-01-20,69.0,False,ADP
2013-01-21,71.0,False,ADP
2013-01-22,79.0,False,ADP
2013-01-23,84.0,False,ADP
2013-01-24,95.0,False,ADP
2013-01-25,96.0,False,ADP
2013-01-26,52.0,False,ADP
2013-01-27,43.0,False,ADP
2013-01-28,71.0,False,ADP
2013-01-29,75.0,False,ADP
2013-01-30,80.0,False,ADP
2013-01-31,90.0,False,ADP
2013-02-01,89.0,False,ADP
2013-02-02,46.0,False,ADP
2013-02-03,37.0,False,ADP
2013-02-04,64.0,False,ADP
2013-02-05,65.0,False,ADP
2013-02-06,64.0,False,ADP
2013-02-07,71.0,False,ADP
2013-02-08,77.0,False,ADP
2013-02-09,41.0,False,ADP
2013-02-10,38.0,False,ADP
2013-02-11,59.0,False,ADP
2013-02-12,60.0,False,ADP
2013-02-13,65.0,False,ADP
2013-02-14,69.0,False,ADP
2013-02-15,82.0,False,ADP
2013-02-16,41.0,False,ADP
2013-02-17,34.0,False,ADP
2013-02-18,54.0,False,ADP
2013-02-19,62.0,False,ADP
2013-02-20,66.0,False,ADP
2013-02-21,73.0,False,ADP
2013-02-22,79.0,False,ADP
2013-02-23,41.0,False,ADP
2013-02-24,35.0,False,ADP
2013-02-25,57.0,False,ADP
2013-02-26,60.0,False,ADP
2013-02-27,59.0,False,ADP
2013-02-28,79.0,False,ADP
2013-03-01,73.0,False,ADP
2013-03-02,39.0,False,ADP
2013-03-03,35.0,False,ADP
2013-03-04,65.0,False,ADP
2013-03-05,61.0,False,ADP
2013-03-06,65.0,False,ADP
2013-03-07,71.0,False,ADP
2013-03-08,73.0,False,ADP
2013-03-09,37.0,False,ADP
2013-03-10,35.0,False,ADP
2013-03-11,61.0,False,ADP
2013-03-12,65.0,False,ADP
2013-03-13,70.0,False,ADP
2013-03-14,73.0,False,ADP
2013-03-15,90.0,False,ADP
2013-03-16,37.0,False,ADP
2013-03-17,32.0,False,ADP
2013-03-18,60.0,False,ADP
2013-03-19,55.0,False,ADP
2013-03-20,61.0,False,ADP
2013-03-21,71.0,False,ADP
2013-03-22,75.0,False,ADP
2013-03-23,39.0,False,ADP
2013-03-24,34.0,False,ADP
2013-03-25,58.0,False,ADP
2013-03-26,58.0,False,ADP
2013-03-27,63.0,False,ADP
2013-03-28,73.0,False,ADP
2013-03-29,73.0,False,ADP
2013-03-30,36.0,False,ADP
2013-03-31,31.0,False,ADP
2013-04-01,57.0,False,ADP
2013-04-02,58.0,False,ADP
2013-04-03,64.0,False,ADP
2013-04-04,69.0,False,ADP
2013-04-05,72.0,False,ADP
2013-04-06,33.0,False,ADP
2013-04-07,30.0,False,ADP
2013-04-08,61.0,False,ADP
2013-04-09,53.0,False,ADP
2013-04-10,61.0,False,ADP
2013-04-11,73.0,False,ADP
2013-04-12,74.0,False,ADP
2013-04-13,44.0,False,ADP
2013-04-14,39.0,False,ADP
2013-04-15,70.0,False,ADP
2013-04-16,56.0,False,ADP
2013-04-17,59.0,False,ADP
2013-04-18,67.0,False,ADP
2013-04-19,70.0,False,ADP
2013-04-20,37.0,False,ADP
2013-04-21,29.0,False,ADP
2013-04-22,56.0,False,ADP
2013-04-23,57.0,False,ADP
2013-04-24,59.0,False,ADP
2013-04-25,68.0,False,ADP
2013-04-26,72.0,False,ADP
2013-04-27,33.0,False,ADP
2013-04-28,30.0,False,ADP
2013-04-29,60.0,False,ADP
2013-04-30,57.0,False,ADP
2013-05-01,65.0,False,ADP
2013-05-02,66.0,False,ADP
2013-05-03,74.0,False,ADP
2013-05-04,37.0,False,ADP
2013-05-05,27.0,False,ADP
2013-05-06,55.0,False,ADP
