date,gt_index,isPartial,stock
2013-01-01,15.0,False,CBRE
2013-01-02,61.0,False,CBRE
2013-01-03,62.0,False,CBRE
2013-01-04,61.0,False,CBRE
2013-01-05,25.0,False,CBRE
2013-01-06,24.0,False,CBRE
2013-01-07,70.0,False,CBRE
2013-01-08,86.0,False,CBRE
2013-01-09,70.0,False,CBRE
2013-01-10,93.0,False,CBRE
2013-01-11,81.0,False,CBRE
2013-01-12,30.0,False,CBRE
2013-01-13,34.0,False,CBRE
2013-01-14,76.0,False,CBRE
2013-01-15,79.0,False,CBRE
2013-01-16,77.0,False,CBRE
2013-01-17,78.0,False,CBRE
2013-01-18,74.0,False,CBRE
2013-01-19,34.0,False,CBRE
2013-01-20,27.0,False,CBRE
2013-01-21,78.0,False,CBRE
2013-01-22,70.0,False,CBRE
2013-01-23,89.0,False,CBRE
2013-01-24,72.0,False,CBRE
2013-01-25,67.0,False,CBRE
2013-01-26,28.0,False,CBRE
2013-01-27,31.0,False,CBRE
2013-01-28,84.0,False,CBRE
2013-01-29,94.0,False,CBRE
2013-01-30,76.0,False,CBRE
2013-01-31,79.0,False,CBRE
2013-02-01,66.0,False,CBRE
2013-02-02,36.0,False,CBRE
2013-02-03,20.0,False,CBRE
2013-02-04,80.0,False,CBRE
2013-02-05,85.0,False,CBRE
2013-02-06,85.0,False,CBRE
2013-02-07,93.0,False,CBRE
2013-02-08,86.0,False,CBRE
2013-02-09,35.0,False,CBRE
2013-02-10,30.0,False,CBRE
2013-02-11,68.0,False,CBRE
2013-02-12,79.0,False,CBRE
2013-02-13,85.0,False,CBRE
2013-02-14,89.0,False,CBRE
2013-02-15,69.0,False,CBRE
2013-02-16,35.0,False,CBRE
2013-02-17,34.0,False,CBRE
2013-02-18,66.0,False,CBRE
2013-02-19,92.0,False,CBRE
2013-02-20,85.0,False,CBRE
2013-02-21,78.0,False,CBRE
2013-02-22,70.0,False,CBRE
2013-02-23,32.0,False,CBRE
2013-02-24,26.0,False,CBRE
2013-02-25,76.0,False,CBRE
2013-02-26,81.0,False,CBRE
2013-02-27,100.0,False,CBRE
2013-02-28,79.0,False,CBRE
2013-03-01,91.0,False,CBRE
2013-03-02,35.0,False,CBRE
2013-03-03,30.0,False,CBRE
2013-03-04,90.0,False,CBRE
2013-03-05,93.0,False,CBRE
2013-03-06,87.0,False,CBRE
2013-03-07,84.0,False,CBRE
2013-03-08,82.0,False,CBRE
2013-03-09,40.0,False,CBRE
2013-03-10,35.0,False,CBRE
2013-03-11,96.0,False,CBRE
2013-03-12,82.0,False,CBRE
2013-03-13,84.0,False,CBRE
2013-03-14,77.0,False,CBRE
2013-03-15,68.0,False,CBRE
2013-03-16,31.0,False,CBRE
2013-03-17,34.0,False,CBRE
2013-03-18,84.0,False,CBRE
2013-03-19,85.0,False,CBRE
2013-03-20,92.0,False,CBRE
2013-03-21,84.0,False,CBRE
