date,gt_index,isPartial,stock
2013-01-01,40.0,False,DISCK
2013-01-02,29.0,False,DISCK
2013-01-03,75.0,False,DISCK
2013-01-04,84.0,False,DISCK
2013-01-05,54.0,False,DISCK
2013-01-06,54.0,False,DISCK
2013-01-07,52.0,False,DISCK
2013-01-08,54.0,False,DISCK
2013-01-09,72.0,False,DISCK
2013-01-10,57.0,False,DISCK
2013-01-11,53.0,False,DISCK
2013-01-12,71.0,False,DISCK
2013-01-13,66.0,False,DISCK
2013-01-14,84.0,False,DISCK
2013-01-15,68.0,False,DISCK
2013-01-16,75.0,False,DISCK
2013-01-17,75.0,False,DISCK
2013-01-18,58.0,False,DISCK
2013-01-19,60.0,False,DISCK
2013-01-20,63.0,False,DISCK
2013-01-21,88.0,False,DISCK
2013-01-22,67.0,False,DISCK
2013-01-23,62.0,False,DISCK
2013-01-24,42.0,False,DISCK
2013-01-25,80.0,False,DISCK
2013-01-26,85.0,False,DISCK
2013-01-27,73.0,False,DISCK
2013-01-28,75.0,False,DISCK
2013-01-29,61.0,False,DISCK
2013-01-30,61.0,False,DISCK
2013-01-31,47.0,False,DISCK
2013-02-01,65.0,False,DISCK
2013-02-02,42.0,False,DISCK
2013-02-03,58.0,False,DISCK
2013-02-04,70.0,False,DISCK
2013-02-05,85.0,False,DISCK
2013-02-06,65.0,False,DISCK
2013-02-07,42.0,False,DISCK
2013-02-08,43.0,False,DISCK
2013-02-09,71.0,False,DISCK
2013-02-10,46.0,False,DISCK
2013-02-11,63.0,False,DISCK
2013-02-12,61.0,False,DISCK
2013-02-13,53.0,False,DISCK
2013-02-14,64.0,False,DISCK
2013-02-15,53.0,False,DISCK
2013-02-16,46.0,False,DISCK
2013-02-17,38.0,False,DISCK
2013-02-18,67.0,False,DISCK
2013-02-19,40.0,False,DISCK
2013-02-20,52.0,False,DISCK
2013-02-21,71.0,False,DISCK
2013-02-22,36.0,False,DISCK
2013-02-23,65.0,False,DISCK
2013-02-24,51.0,False,DISCK
2013-02-25,63.0,False,DISCK
2013-02-26,60.0,False,DISCK
2013-02-27,35.0,False,DISCK
2013-02-28,50.0,False,DISCK
2013-03-01,49.0,False,DISCK
2013-03-02,51.0,False,DISCK
2013-03-03,72.0,False,DISCK
2013-03-04,35.0,False,DISCK
2013-03-05,77.0,False,DISCK
2013-03-06,58.0,False,DISCK
2013-03-07,80.0,False,DISCK
2013-03-08,66.0,False,DISCK
2013-03-09,51.0,False,DISCK
2013-03-10,47.0,False,DISCK
2013-03-11,51.0,False,DISCK
2013-03-12,73.0,False,DISCK
2013-03-13,51.0,False,DISCK
2013-03-14,63.0,False,DISCK
2013-03-15,45.0,False,DISCK
2013-03-16,34.0,False,DISCK
2013-03-17,56.0,False,DISCK
2013-03-18,57.0,False,DISCK
2013-03-19,63.0,False,DISCK
2013-03-20,40.0,False,DISCK
2013-03-21,61.0,False,DISCK
2013-03-22,56.0,False,DISCK
2013-03-23,65.0,False,DISCK
2013-03-24,30.0,False,DISCK
2013-03-25,66.0,False,DISCK
2013-03-26,54.0,False,DISCK
2013-03-27,53.0,False,DISCK
2013-03-28,76.0,False,DISCK
2013-03-29,62.0,False,DISCK
2013-03-30,68.0,False,DISCK
2013-03-31,47.0,False,DISCK
2013-04-01,90.0,False,DISCK
2013-04-02,100.0,False,DISCK
2013-04-03,54.0,False,DISCK
2013-04-04,55.0,False,DISCK
2013-04-05,54.0,False,DISCK
2013-04-06,44.0,False,DISCK
2013-04-07,30.0,False,DISCK
2013-04-08,53.0,False,DISCK
2013-04-09,62.0,False,DISCK
2013-04-10,54.0,False,DISCK
2013-04-11,72.0,False,DISCK
2013-04-12,63.0,False,DISCK
2013-04-13,59.0,False,DISCK
2013-04-14,45.0,False,DISCK
2013-04-15,40.0,False,DISCK
2013-04-16,43.0,False,DISCK
2013-04-17,46.0,False,DISCK
2013-04-18,43.0,False,DISCK
2013-04-19,48.0,False,DISCK
2013-04-20,52.0,False,DISCK
2013-04-21,58.0,False,DISCK
2013-04-22,51.0,False,DISCK
2013-04-23,54.0,False,DISCK
2013-04-24,78.0,False,DISCK
2013-04-25,59.0,False,DISCK
2013-04-26,79.0,False,DISCK
2013-04-27,62.0,False,DISCK
2013-04-28,82.0,False,DISCK
2013-04-29,37.0,False,DISCK
2013-04-30,46.0,False,DISCK
2013-05-01,53.0,False,DISCK
2013-05-02,70.0,False,DISCK
2013-05-03,76.0,False,DISCK
2013-05-04,56.0,False,DISCK
2013-05-05,42.0,False,DISCK
2013-05-06,58.0,False,DISCK
2013-05-07,46.0,False,DISCK
2013-05-08,44.0,False,DISCK
2013-05-09,42.0,False,DISCK
2013-05-10,70.0,False,DISCK
2013-05-11,56.0,False,DISCK
2013-05-12,48.0,False,DISCK
2013-05-13,73.0,False,DISCK
2013-05-14,31.0,False,DISCK
2013-05-15,28.0,False,DISCK
2013-05-16,52.0,False,DISCK
2013-05-17,69.0,False,DISCK
2013-05-18,62.0,False,DISCK
2013-05-19,59.0,False,DISCK
2013-05-20,60.0,False,DISCK
2013-05-21,47.0,False,DISCK
2013-05-22,53.0,False,DISCK
2013-05-23,43.0,False,DISCK
2013-05-24,42.0,False,DISCK
2013-05-25,55.0,False,DISCK
2013-05-26,58.0,False,DISCK
2013-05-27,49.0,False,DISCK
2013-05-28,45.0,False,DISCK
2013-05-29,42.0,False,DISCK
2013-05-30,52.0,False,DISCK
2013-05-31,57.0,False,DISCK
2013-06-01,69.0,False,DISCK
2013-06-02,37.0,False,DISCK
2013-06-03,67.0,False,DISCK
2013-06-04,68.0,False,DISCK
2013-06-05,45.0,False,DISCK
2013-06-06,43.0,False,DISCK
2013-06-07,74.0,False,DISCK
2013-06-08,56.0,False,DISCK
2013-06-09,58.0,False,DISCK
2013-06-10,55.0,False,DISCK
2013-06-11,61.0,False,DISCK
2013-06-12,60.0,False,DISCK
2013-06-13,71.0,False,DISCK
2013-06-14,42.0,False,DISCK
2013-06-15,59.0,False,DISCK
2013-06-16,59.0,False,DISCK
2013-06-17,56.0,False,DISCK
2013-06-18,68.0,False,DISCK
2013-06-19,63.0,False,DISCK
2013-06-20,40.0,False,DISCK
2013-06-21,54.0,False,DISCK
2013-06-22,52.0,False,DISCK
2013-06-23,41.0,False,DISCK
2013-06-24,51.0,False,DISCK
2013-06-25,28.0,False,DISCK
2013-06-26,51.0,False,DISCK
2013-06-27,64.0,False,DISCK
2013-06-28,51.0,False,DISCK
2013-06-29,53.0,False,DISCK
2013-06-30,84.0,False,DISCK
2013-07-01,46.0,False,DISCK
2013-07-02,62.6551724137931,False,DISCK
2013-07-03,55.51724137931035,False,DISCK
2013-07-04,31.724137931034484,False,DISCK
2013-07-05,35.689655172413794,False,DISCK
2013-07-06,34.896551724137936,False,DISCK
2013-07-07,50.758620689655174,False,DISCK
2013-07-08,63.44827586206897,False,DISCK
2013-07-09,38.862068965517246,False,DISCK
2013-07-10,53.13793103448276,False,DISCK
2013-07-11,42.03448275862069,False,DISCK
2013-07-12,34.896551724137936,False,DISCK
2013-07-13,44.41379310344828,False,DISCK
2013-07-14,53.93103448275862,False,DISCK
2013-07-15,49.17241379310345,False,DISCK
2013-07-16,57.896551724137936,False,DISCK
2013-07-17,38.862068965517246,False,DISCK
2013-07-18,48.37931034482759,False,DISCK
2013-07-19,46.793103448275865,False,DISCK
2013-07-20,68.20689655172414,False,DISCK
2013-07-21,44.41379310344828,False,DISCK
2013-07-22,52.3448275862069,False,DISCK
2013-07-23,54.724137931034484,False,DISCK
2013-07-24,72.17241379310344,False,DISCK
2013-07-25,53.93103448275862,False,DISCK
2013-07-26,41.241379310344826,False,DISCK
2013-07-27,34.10344827586207,False,DISCK
2013-07-28,53.93103448275862,False,DISCK
2013-07-29,49.17241379310345,False,DISCK
2013-07-30,48.37931034482759,False,DISCK
2013-07-31,36.48275862068966,False,DISCK
2013-08-01,45.20689655172414,False,DISCK
2013-08-02,61.862068965517246,False,DISCK
2013-08-03,30.13793103448276,False,DISCK
2013-08-04,23.793103448275865,False,DISCK
2013-08-05,47.58620689655173,False,DISCK
2013-08-06,49.96551724137931,False,DISCK
2013-08-07,33.310344827586206,False,DISCK
2013-08-08,59.48275862068966,False,DISCK
2013-08-09,32.51724137931035,False,DISCK
2013-08-10,41.241379310344826,False,DISCK
