date,gt_index,isPartial,stock
2013-01-01,76.0,False,DIS
2013-01-02,81.0,False,DIS
2013-01-03,76.0,False,DIS
2013-01-04,84.0,False,DIS
2013-01-05,82.0,False,DIS
2013-01-06,79.0,False,DIS
2013-01-07,78.0,False,DIS
2013-01-08,86.0,False,DIS
2013-01-09,79.0,False,DIS
2013-01-10,84.0,False,DIS
2013-01-11,85.0,False,DIS
2013-01-12,83.0,False,DIS
2013-01-13,86.0,False,DIS
2013-01-14,80.0,False,DIS
2013-01-15,84.0,False,DIS
2013-01-16,88.0,False,DIS
2013-01-17,83.0,False,DIS
2013-01-18,81.0,False,DIS
2013-01-19,77.0,False,DIS
2013-01-20,79.0,False,DIS
2013-01-21,88.0,False,DIS
2013-01-22,77.0,False,DIS
2013-01-23,84.0,False,DIS
2013-01-24,88.0,False,DIS
2013-01-25,87.0,False,DIS
2013-01-26,82.0,False,DIS
2013-01-27,90.0,False,DIS
2013-01-28,86.0,False,DIS
2013-01-29,95.0,False,DIS
2013-01-30,93.0,False,DIS
2013-01-31,83.0,False,DIS
2013-02-01,90.0,False,DIS
2013-02-02,87.0,False,DIS
2013-02-03,83.0,False,DIS
2013-02-04,91.0,False,DIS
2013-02-05,89.0,False,DIS
2013-02-06,85.0,False,DIS
2013-02-07,85.0,False,DIS
2013-02-08,89.0,False,DIS
2013-02-09,81.0,False,DIS
2013-02-10,77.0,False,DIS
2013-02-11,87.0,False,DIS
2013-02-12,86.0,False,DIS
2013-02-13,93.0,False,DIS
2013-02-14,85.0,False,DIS
2013-02-15,89.0,False,DIS
2013-02-16,85.0,False,DIS
2013-02-17,79.0,False,DIS
2013-02-18,81.0,False,DIS
2013-02-19,87.0,False,DIS
2013-02-20,85.0,False,DIS
2013-02-21,89.0,False,DIS
2013-02-22,88.0,False,DIS
2013-02-23,74.0,False,DIS
2013-02-24,84.0,False,DIS
2013-02-25,84.0,False,DIS
2013-02-26,78.0,False,DIS
2013-02-27,91.0,False,DIS
2013-02-28,87.0,False,DIS
2013-03-01,85.0,False,DIS
2013-03-02,80.0,False,DIS
2013-03-03,76.0,False,DIS
2013-03-04,77.0,False,DIS
2013-03-05,86.0,False,DIS
2013-03-06,83.0,False,DIS
2013-03-07,87.0,False,DIS
2013-03-08,95.0,False,DIS
2013-03-09,70.0,False,DIS
2013-03-10,80.0,False,DIS
2013-03-11,84.0,False,DIS
2013-03-12,77.0,False,DIS
2013-03-13,85.0,False,DIS
2013-03-14,100.0,False,DIS
2013-03-15,96.0,False,DIS
2013-03-16,87.0,False,DIS
2013-03-17,74.0,False,DIS
2013-03-18,80.0,False,DIS
2013-03-19,87.0,False,DIS
2013-03-20,90.0,False,DIS
2013-03-21,81.0,False,DIS
2013-03-22,79.0,False,DIS
2013-03-23,78.0,False,DIS
2013-03-24,81.0,False,DIS
2013-03-25,78.0,False,DIS
2013-03-26,82.0,False,DIS
2013-03-27,83.0,False,DIS
2013-03-28,86.0,False,DIS
2013-03-29,77.0,False,DIS
2013-03-30,82.0,False,DIS
2013-03-31,71.0,False,DIS
2013-04-01,82.0,False,DIS
2013-04-02,89.0,False,DIS
2013-04-03,86.0,False,DIS
2013-04-04,78.0,False,DIS
2013-04-05,79.0,False,DIS
2013-04-06,81.0,False,DIS
2013-04-07,77.0,False,DIS
2013-04-08,89.0,False,DIS
2013-04-09,82.0,False,DIS
2013-04-10,82.0,False,DIS
2013-04-11,86.0,False,DIS
2013-04-12,80.0,False,DIS
2013-04-13,81.0,False,DIS
2013-04-14,81.0,False,DIS
2013-04-15,84.0,False,DIS
2013-04-16,89.0,False,DIS
2013-04-17,87.0,False,DIS
2013-04-18,83.0,False,DIS
2013-04-19,90.0,False,DIS
2013-04-20,79.0,False,DIS
2013-04-21,85.0,False,DIS
2013-04-22,84.0,False,DIS
2013-04-23,84.0,False,DIS
2013-04-24,83.0,False,DIS
2013-04-25,84.0,False,DIS
2013-04-26,83.0,False,DIS
2013-04-27,73.0,False,DIS
2013-04-28,82.0,False,DIS
2013-04-29,87.0,False,DIS
2013-04-30,90.0,False,DIS
2013-05-01,87.0,False,DIS
2013-05-02,84.0,False,DIS
2013-05-03,92.0,False,DIS
2013-05-04,81.0,False,DIS
2013-05-05,75.0,False,DIS
2013-05-06,92.0,False,DIS
2013-05-07,92.0,False,DIS
2013-05-08,91.0,False,DIS
2013-05-09,89.0,False,DIS
2013-05-10,93.0,False,DIS
2013-05-11,79.0,False,DIS
2013-05-12,90.0,False,DIS
2013-05-13,86.0,False,DIS
2013-05-14,89.0,False,DIS
2013-05-15,90.0,False,DIS
2013-05-16,90.0,False,DIS
2013-05-17,81.0,False,DIS
