date,gt_index,isPartial,stock
2013-01-01,16.0,False,GPN
2013-01-02,39.0,False,GPN
2013-01-03,34.0,False,GPN
2013-01-04,31.0,False,GPN
2013-01-05,29.0,False,GPN
2013-01-06,10.0,False,GPN
2013-01-07,70.0,False,GPN
2013-01-08,65.0,False,GPN
2013-01-09,32.0,False,GPN
2013-01-10,41.0,False,GPN
2013-01-11,76.0,False,GPN
2013-01-12,34.0,False,GPN
2013-01-13,38.0,False,GPN
2013-01-14,77.0,False,GPN
2013-01-15,48.0,False,GPN
2013-01-16,56.0,False,GPN
2013-01-17,40.0,False,GPN
2013-01-18,54.0,False,GPN
2013-01-19,19.0,False,GPN
2013-01-20,9.0,False,GPN
2013-01-21,16.0,False,GPN
2013-01-22,47.0,False,GPN
2013-01-23,40.0,False,GPN
2013-01-24,49.0,False,GPN
2013-01-25,58.0,False,GPN
2013-01-26,29.0,False,GPN
2013-01-27,42.0,False,GPN
2013-01-28,31.0,False,GPN
2013-01-29,78.0,False,GPN
2013-01-30,47.0,False,GPN
2013-01-31,56.0,False,GPN
2013-02-01,25.0,False,GPN
2013-02-02,24.0,False,GPN
2013-02-03,42.0,False,GPN
2013-02-04,47.0,False,GPN
2013-02-05,44.0,False,GPN
2013-02-06,28.0,False,GPN
2013-02-07,81.0,False,GPN
2013-02-08,58.0,False,GPN
2013-02-09,24.0,False,GPN
2013-02-10,29.0,False,GPN
2013-02-11,49.0,False,GPN
2013-02-12,86.0,False,GPN
2013-02-13,100.0,False,GPN
2013-02-14,45.0,False,GPN
2013-02-15,42.0,False,GPN
2013-02-16,43.0,False,GPN
2013-02-17,37.0,False,GPN
2013-02-18,59.0,False,GPN
2013-02-19,27.0,False,GPN
2013-02-20,43.0,False,GPN
2013-02-21,52.0,False,GPN
2013-02-22,49.0,False,GPN
2013-02-23,23.0,False,GPN
2013-02-24,46.0,False,GPN
2013-02-25,58.0,False,GPN
2013-02-26,70.0,False,GPN
2013-02-27,35.0,False,GPN
2013-02-28,40.0,False,GPN
2013-03-01,66.0,False,GPN
2013-03-02,23.0,False,GPN
2013-03-03,14.0,False,GPN
2013-03-04,47.0,False,GPN
2013-03-05,50.0,False,GPN
2013-03-06,58.0,False,GPN
2013-03-07,40.0,False,GPN
2013-03-08,49.0,False,GPN
2013-03-09,23.0,False,GPN
2013-03-10,50.0,False,GPN
2013-03-11,23.0,False,GPN
2013-03-12,42.0,False,GPN
2013-03-13,73.0,False,GPN
2013-03-14,54.0,False,GPN
2013-03-15,28.0,False,GPN
2013-03-16,36.0,False,GPN
2013-03-17,22.0,False,GPN
2013-03-18,84.0,False,GPN
2013-03-19,69.0,False,GPN
2013-03-20,15.0,False,GPN
2013-03-21,70.0,False,GPN
2013-03-22,40.0,False,GPN
2013-03-23,18.0,False,GPN
2013-03-24,54.0,False,GPN
2013-03-25,39.0,False,GPN
2013-03-26,43.0,False,GPN
2013-03-27,56.0,False,GPN
2013-03-28,45.0,False,GPN
2013-03-29,44.0,False,GPN
2013-03-30,19.0,False,GPN
2013-03-31,39.0,False,GPN
2013-04-01,49.0,False,GPN
2013-04-02,66.0,False,GPN
2013-04-03,46.0,False,GPN
2013-04-04,58.0,False,GPN
2013-04-05,64.0,False,GPN
2013-04-06,32.0,False,GPN
2013-04-07,18.0,False,GPN
2013-04-08,57.0,False,GPN
2013-04-09,34.0,False,GPN
2013-04-10,23.0,False,GPN
2013-04-11,43.0,False,GPN
2013-04-12,48.0,False,GPN
2013-04-13,9.0,False,GPN
