date,gt_index,isPartial,stock
2013-01-01,35.0,False,MDT
2013-01-02,64.0,False,MDT
2013-01-03,65.0,False,MDT
2013-01-04,66.0,False,MDT
2013-01-05,38.0,False,MDT
2013-01-06,31.0,False,MDT
2013-01-07,70.0,False,MDT
2013-01-08,77.0,False,MDT
2013-01-09,75.0,False,MDT
2013-01-10,68.0,False,MDT
2013-01-11,59.0,False,MDT
2013-01-12,30.0,False,MDT
2013-01-13,38.0,False,MDT
2013-01-14,68.0,False,MDT
2013-01-15,73.0,False,MDT
2013-01-16,68.0,False,MDT
2013-01-17,83.0,False,MDT
2013-01-18,90.0,False,MDT
2013-01-19,42.0,False,MDT
2013-01-20,36.0,False,MDT
2013-01-21,61.0,False,MDT
2013-01-22,63.0,False,MDT
2013-01-23,67.0,False,MDT
2013-01-24,83.0,False,MDT
2013-01-25,55.0,False,MDT
2013-01-26,41.0,False,MDT
2013-01-27,43.0,False,MDT
2013-01-28,86.0,False,MDT
2013-01-29,81.0,False,MDT
2013-01-30,68.0,False,MDT
2013-01-31,77.0,False,MDT
2013-02-01,65.0,False,MDT
2013-02-02,34.0,False,MDT
2013-02-03,35.0,False,MDT
2013-02-04,90.0,False,MDT
2013-02-05,90.0,False,MDT
2013-02-06,87.0,False,MDT
2013-02-07,97.0,False,MDT
2013-02-08,77.0,False,MDT
2013-02-09,29.0,False,MDT
2013-02-10,30.0,False,MDT
2013-02-11,63.0,False,MDT
2013-02-12,76.0,False,MDT
2013-02-13,74.0,False,MDT
2013-02-14,73.0,False,MDT
2013-02-15,89.0,False,MDT
2013-02-16,42.0,False,MDT
2013-02-17,43.0,False,MDT
2013-02-18,63.0,False,MDT
2013-02-19,89.0,False,MDT
2013-02-20,87.0,False,MDT
2013-02-21,64.0,False,MDT
2013-02-22,78.0,False,MDT
2013-02-23,46.0,False,MDT
2013-02-24,32.0,False,MDT
2013-02-25,71.0,False,MDT
2013-02-26,87.0,False,MDT
2013-02-27,75.0,False,MDT
2013-02-28,91.0,False,MDT
2013-03-01,77.0,False,MDT
2013-03-02,40.0,False,MDT
2013-03-03,43.0,False,MDT
2013-03-04,86.0,False,MDT
2013-03-05,75.0,False,MDT
2013-03-06,76.0,False,MDT
2013-03-07,90.0,False,MDT
2013-03-08,70.0,False,MDT
2013-03-09,35.0,False,MDT
2013-03-10,46.0,False,MDT
2013-03-11,97.0,False,MDT
2013-03-12,93.0,False,MDT
2013-03-13,93.0,False,MDT
2013-03-14,82.0,False,MDT
2013-03-15,85.0,False,MDT
2013-03-16,40.0,False,MDT
2013-03-17,36.0,False,MDT
2013-03-18,81.0,False,MDT
2013-03-19,82.0,False,MDT
2013-03-20,87.0,False,MDT
2013-03-21,89.0,False,MDT
2013-03-22,83.0,False,MDT
2013-03-23,43.0,False,MDT
2013-03-24,39.0,False,MDT
2013-03-25,77.0,False,MDT
2013-03-26,91.0,False,MDT
2013-03-27,99.0,False,MDT
2013-03-28,75.0,False,MDT
2013-03-29,71.0,False,MDT
2013-03-30,37.0,False,MDT
2013-03-31,30.0,False,MDT
2013-04-01,66.0,False,MDT
2013-04-02,81.0,False,MDT
2013-04-03,81.0,False,MDT
2013-04-04,86.0,False,MDT
2013-04-05,69.0,False,MDT
2013-04-06,42.0,False,MDT
2013-04-07,33.0,False,MDT
2013-04-08,75.0,False,MDT
2013-04-09,81.0,False,MDT
2013-04-10,74.0,False,MDT
2013-04-11,75.0,False,MDT
2013-04-12,78.0,False,MDT
2013-04-13,36.0,False,MDT
2013-04-14,36.0,False,MDT
2013-04-15,87.0,False,MDT
2013-04-16,84.0,False,MDT
2013-04-17,89.0,False,MDT
2013-04-18,84.0,False,MDT
2013-04-19,76.0,False,MDT
2013-04-20,51.0,False,MDT
2013-04-21,43.0,False,MDT
2013-04-22,83.0,False,MDT
2013-04-23,90.0,False,MDT
2013-04-24,74.0,False,MDT
2013-04-25,89.0,False,MDT
2013-04-26,70.0,False,MDT
2013-04-27,36.0,False,MDT
2013-04-28,40.0,False,MDT
2013-04-29,79.0,False,MDT
2013-04-30,91.0,False,MDT
2013-05-01,80.0,False,MDT
2013-05-02,79.0,False,MDT
2013-05-03,93.0,False,MDT
2013-05-04,45.0,False,MDT
2013-05-05,39.0,False,MDT
2013-05-06,74.0,False,MDT
2013-05-07,72.0,False,MDT
2013-05-08,84.0,False,MDT
