date,gt_index,isPartial,stock
2013-01-01,26.0,False,PCAR
2013-01-02,54.0,False,PCAR
2013-01-03,73.0,False,PCAR
2013-01-04,27.0,False,PCAR
2013-01-05,45.0,False,PCAR
2013-01-06,30.0,False,PCAR
2013-01-07,32.0,False,PCAR
2013-01-08,64.0,False,PCAR
2013-01-09,57.0,False,PCAR
2013-01-10,38.0,False,PCAR
2013-01-11,33.0,False,PCAR
2013-01-12,15.0,False,PCAR
2013-01-13,22.0,False,PCAR
2013-01-14,38.0,False,PCAR
2013-01-15,56.0,False,PCAR
2013-01-16,44.0,False,PCAR
2013-01-17,19.0,False,PCAR
2013-01-18,39.0,False,PCAR
2013-01-19,30.0,False,PCAR
2013-01-20,0.0,False,PCAR
2013-01-21,37.0,False,PCAR
2013-01-22,25.0,False,PCAR
2013-01-23,25.0,False,PCAR
2013-01-24,76.0,False,PCAR
2013-01-25,52.0,False,PCAR
2013-01-26,67.0,False,PCAR
2013-01-27,36.0,False,PCAR
2013-01-28,31.0,False,PCAR
2013-01-29,67.0,False,PCAR
2013-01-30,43.0,False,PCAR
2013-01-31,38.0,False,PCAR
2013-02-01,59.0,False,PCAR
2013-02-02,37.0,False,PCAR
2013-02-03,14.0,False,PCAR
2013-02-04,50.0,False,PCAR
2013-02-05,50.0,False,PCAR
2013-02-06,50.0,False,PCAR
2013-02-07,50.0,False,PCAR
2013-02-08,39.0,False,PCAR
2013-02-09,45.0,False,PCAR
2013-02-10,53.0,False,PCAR
2013-02-11,19.0,False,PCAR
2013-02-12,77.0,False,PCAR
2013-02-13,44.0,False,PCAR
2013-02-14,38.0,False,PCAR
2013-02-15,85.0,False,PCAR
2013-02-16,37.0,False,PCAR
2013-02-17,58.0,False,PCAR
2013-02-18,12.0,False,PCAR
2013-02-19,31.0,False,PCAR
2013-02-20,43.0,False,PCAR
2013-02-21,68.0,False,PCAR
2013-02-22,71.0,False,PCAR
2013-02-23,22.0,False,PCAR
2013-02-24,57.0,False,PCAR
2013-02-25,36.0,False,PCAR
2013-02-26,67.0,False,PCAR
2013-02-27,31.0,False,PCAR
2013-02-28,80.0,False,PCAR
2013-03-01,71.0,False,PCAR
2013-03-02,36.0,False,PCAR
2013-03-03,22.0,False,PCAR
2013-03-04,55.0,False,PCAR
2013-03-05,67.0,False,PCAR
2013-03-06,80.0,False,PCAR
2013-03-07,37.0,False,PCAR
2013-03-08,70.0,False,PCAR
2013-03-09,57.0,False,PCAR
2013-03-10,56.0,False,PCAR
2013-03-11,36.0,False,PCAR
2013-03-12,47.0,False,PCAR
2013-03-13,36.0,False,PCAR
2013-03-14,36.0,False,PCAR
2013-03-15,89.0,False,PCAR
