date,gt_index,isPartial,stock
2013-01-01,43.0,False,PFG
2013-01-02,68.0,False,PFG
2013-01-03,60.0,False,PFG
2013-01-04,51.0,False,PFG
2013-01-05,28.0,False,PFG
2013-01-06,40.0,False,PFG
2013-01-07,46.0,False,PFG
2013-01-08,53.0,False,PFG
2013-01-09,43.0,False,PFG
2013-01-10,57.0,False,PFG
2013-01-11,38.0,False,PFG
2013-01-12,26.0,False,PFG
2013-01-13,29.0,False,PFG
2013-01-14,41.0,False,PFG
2013-01-15,63.0,False,PFG
2013-01-16,63.0,False,PFG
2013-01-17,47.0,False,PFG
2013-01-18,55.0,False,PFG
2013-01-19,33.0,False,PFG
2013-01-20,25.0,False,PFG
2013-01-21,44.0,False,PFG
2013-01-22,44.0,False,PFG
2013-01-23,36.0,False,PFG
2013-01-24,64.0,False,PFG
2013-01-25,52.0,False,PFG
2013-01-26,27.0,False,PFG
2013-01-27,44.0,False,PFG
2013-01-28,57.0,False,PFG
2013-01-29,58.0,False,PFG
2013-01-30,70.0,False,PFG
2013-01-31,60.0,False,PFG
2013-02-01,48.0,False,PFG
2013-02-02,33.0,False,PFG
2013-02-03,40.0,False,PFG
2013-02-04,66.0,False,PFG
2013-02-05,66.0,False,PFG
2013-02-06,63.0,False,PFG
2013-02-07,50.0,False,PFG
2013-02-08,47.0,False,PFG
2013-02-09,26.0,False,PFG
2013-02-10,24.0,False,PFG
2013-02-11,52.0,False,PFG
2013-02-12,42.0,False,PFG
2013-02-13,43.0,False,PFG
2013-02-14,51.0,False,PFG
2013-02-15,69.0,False,PFG
2013-02-16,35.0,False,PFG
2013-02-17,29.0,False,PFG
2013-02-18,56.0,False,PFG
2013-02-19,55.0,False,PFG
2013-02-20,57.0,False,PFG
2013-02-21,62.0,False,PFG
2013-02-22,58.0,False,PFG
2013-02-23,39.0,False,PFG
2013-02-24,30.0,False,PFG
2013-02-25,46.0,False,PFG
2013-02-26,59.0,False,PFG
2013-02-27,49.0,False,PFG
2013-02-28,52.0,False,PFG
2013-03-01,51.0,False,PFG
2013-03-02,36.0,False,PFG
2013-03-03,27.0,False,PFG
2013-03-04,80.0,False,PFG
2013-03-05,45.0,False,PFG
2013-03-06,47.0,False,PFG
2013-03-07,72.0,False,PFG
2013-03-08,51.0,False,PFG
2013-03-09,44.0,False,PFG
2013-03-10,41.0,False,PFG
2013-03-11,51.0,False,PFG
2013-03-12,50.0,False,PFG
2013-03-13,65.0,False,PFG
2013-03-14,52.0,False,PFG
2013-03-15,64.0,False,PFG
2013-03-16,40.0,False,PFG
2013-03-17,41.0,False,PFG
2013-03-18,60.0,False,PFG
2013-03-19,62.0,False,PFG
2013-03-20,53.0,False,PFG
2013-03-21,54.0,False,PFG
2013-03-22,46.0,False,PFG
2013-03-23,30.0,False,PFG
2013-03-24,55.0,False,PFG
2013-03-25,45.0,False,PFG
2013-03-26,66.0,False,PFG
2013-03-27,60.0,False,PFG
2013-03-28,68.0,False,PFG
2013-03-29,52.0,False,PFG
2013-03-30,54.0,False,PFG
2013-03-31,48.0,False,PFG
2013-04-01,49.0,False,PFG
2013-04-02,75.0,False,PFG
2013-04-03,80.0,False,PFG
2013-04-04,73.0,False,PFG
2013-04-05,71.0,False,PFG
2013-04-06,45.0,False,PFG
2013-04-07,62.0,False,PFG
2013-04-08,78.0,False,PFG
2013-04-09,65.0,False,PFG
2013-04-10,100.0,False,PFG
2013-04-11,74.0,False,PFG
2013-04-12,61.0,False,PFG
2013-04-13,43.0,False,PFG
2013-04-14,65.0,False,PFG
2013-04-15,64.0,False,PFG
2013-04-16,81.0,False,PFG
2013-04-17,69.0,False,PFG
2013-04-18,68.0,False,PFG
2013-04-19,46.0,False,PFG
2013-04-20,46.0,False,PFG
2013-04-21,54.0,False,PFG
2013-04-22,45.0,False,PFG
2013-04-23,73.0,False,PFG
2013-04-24,66.0,False,PFG
2013-04-25,61.0,False,PFG
2013-04-26,45.0,False,PFG
2013-04-27,38.0,False,PFG
2013-04-28,44.0,False,PFG
2013-04-29,74.0,False,PFG
2013-04-30,53.0,False,PFG
2013-05-01,53.0,False,PFG
2013-05-02,95.0,False,PFG
2013-05-03,46.0,False,PFG
2013-05-04,51.0,False,PFG
2013-05-05,23.0,False,PFG
2013-05-06,60.0,False,PFG
2013-05-07,80.0,False,PFG
2013-05-08,81.0,False,PFG
2013-05-09,50.0,False,PFG
2013-05-10,56.0,False,PFG
2013-05-11,54.0,False,PFG
2013-05-12,56.0,False,PFG
2013-05-13,74.0,False,PFG
2013-05-14,49.0,False,PFG
2013-05-15,70.0,False,PFG
2013-05-16,58.0,False,PFG
2013-05-17,45.0,False,PFG
2013-05-18,54.0,False,PFG
2013-05-19,52.0,False,PFG
2013-05-20,56.0,False,PFG
2013-05-21,58.0,False,PFG
2013-05-22,77.0,False,PFG
2013-05-23,70.0,False,PFG
2013-05-24,74.0,False,PFG
2013-05-25,56.0,False,PFG
2013-05-26,44.0,False,PFG
2013-05-27,65.0,False,PFG
2013-05-28,79.0,False,PFG
2013-05-29,51.0,False,PFG
2013-05-30,69.0,False,PFG
2013-05-31,45.0,False,PFG
2013-06-01,32.0,False,PFG
2013-06-02,38.0,False,PFG
2013-06-03,49.0,False,PFG
2013-06-04,71.0,False,PFG
2013-06-05,73.0,False,PFG
2013-06-06,56.0,False,PFG
2013-06-07,48.0,False,PFG
2013-06-08,62.0,False,PFG
2013-06-09,46.0,False,PFG
2013-06-10,62.0,False,PFG
2013-06-11,70.0,False,PFG
2013-06-12,59.0,False,PFG
2013-06-13,65.0,False,PFG
2013-06-14,52.0,False,PFG
2013-06-15,39.0,False,PFG
2013-06-16,46.0,False,PFG
2013-06-17,60.0,False,PFG
2013-06-18,60.0,False,PFG
2013-06-19,57.0,False,PFG
