date,gt_index,isPartial,stock
2013-01-01,56.0,False,PLD
2013-01-02,51.0,False,PLD
2013-01-03,53.0,False,PLD
2013-01-04,50.0,False,PLD
2013-01-05,61.0,False,PLD
2013-01-06,61.0,False,PLD
2013-01-07,59.0,False,PLD
2013-01-08,66.0,False,PLD
2013-01-09,81.0,False,PLD
2013-01-10,57.0,False,PLD
2013-01-11,70.0,False,PLD
2013-01-12,37.0,False,PLD
2013-01-13,48.0,False,PLD
2013-01-14,83.0,False,PLD
2013-01-15,79.0,False,PLD
2013-01-16,61.0,False,PLD
2013-01-17,68.0,False,PLD
2013-01-18,52.0,False,PLD
2013-01-19,72.0,False,PLD
2013-01-20,60.0,False,PLD
2013-01-21,67.0,False,PLD
2013-01-22,85.0,False,PLD
2013-01-23,70.0,False,PLD
2013-01-24,73.0,False,PLD
2013-01-25,53.0,False,PLD
2013-01-26,64.0,False,PLD
2013-01-27,68.0,False,PLD
2013-01-28,68.0,False,PLD
2013-01-29,66.0,False,PLD
2013-01-30,85.0,False,PLD
2013-01-31,65.0,False,PLD
2013-02-01,100.0,False,PLD
2013-02-02,85.0,False,PLD
2013-02-03,68.0,False,PLD
2013-02-04,66.0,False,PLD
2013-02-05,57.0,False,PLD
2013-02-06,54.0,False,PLD
2013-02-07,77.0,False,PLD
2013-02-08,86.0,False,PLD
2013-02-09,55.0,False,PLD
2013-02-10,44.0,False,PLD
2013-02-11,64.0,False,PLD
2013-02-12,66.0,False,PLD
2013-02-13,69.0,False,PLD
2013-02-14,68.0,False,PLD
2013-02-15,72.0,False,PLD
2013-02-16,70.0,False,PLD
2013-02-17,51.0,False,PLD
2013-02-18,65.0,False,PLD
2013-02-19,66.0,False,PLD
2013-02-20,49.0,False,PLD
2013-02-21,76.0,False,PLD
2013-02-22,68.0,False,PLD
2013-02-23,63.0,False,PLD
2013-02-24,70.0,False,PLD
2013-02-25,73.0,False,PLD
2013-02-26,56.0,False,PLD
2013-02-27,62.0,False,PLD
2013-02-28,84.0,False,PLD
2013-03-01,56.0,False,PLD
2013-03-02,61.0,False,PLD
2013-03-03,71.0,False,PLD
2013-03-04,72.0,False,PLD
2013-03-05,72.0,False,PLD
2013-03-06,72.0,False,PLD
2013-03-07,74.0,False,PLD
2013-03-08,63.0,False,PLD
2013-03-09,56.0,False,PLD
2013-03-10,55.0,False,PLD
2013-03-11,69.0,False,PLD
2013-03-12,58.0,False,PLD
2013-03-13,60.0,False,PLD
2013-03-14,69.0,False,PLD
2013-03-15,70.0,False,PLD
2013-03-16,57.0,False,PLD
2013-03-17,66.0,False,PLD
2013-03-18,92.0,False,PLD
2013-03-19,75.0,False,PLD
2013-03-20,63.0,False,PLD
2013-03-21,64.0,False,PLD
2013-03-22,65.0,False,PLD
2013-03-23,60.0,False,PLD
2013-03-24,76.0,False,PLD
2013-03-25,61.0,False,PLD
2013-03-26,58.0,False,PLD
2013-03-27,46.0,False,PLD
2013-03-28,66.0,False,PLD
2013-03-29,66.0,False,PLD
2013-03-30,80.0,False,PLD
2013-03-31,59.0,False,PLD
2013-04-01,43.0,False,PLD
2013-04-02,69.0,False,PLD
2013-04-03,69.0,False,PLD
2013-04-04,81.0,False,PLD
2013-04-05,69.0,False,PLD
2013-04-06,55.0,False,PLD
2013-04-07,60.0,False,PLD
2013-04-08,76.0,False,PLD
2013-04-09,70.0,False,PLD
2013-04-10,62.0,False,PLD
2013-04-11,64.0,False,PLD
2013-04-12,48.0,False,PLD
2013-04-13,53.0,False,PLD
2013-04-14,70.0,False,PLD
2013-04-15,69.0,False,PLD
2013-04-16,68.0,False,PLD
2013-04-17,65.0,False,PLD
2013-04-18,89.0,False,PLD
2013-04-19,61.0,False,PLD
2013-04-20,60.0,False,PLD
2013-04-21,61.0,False,PLD
2013-04-22,63.0,False,PLD
2013-04-23,55.0,False,PLD
2013-04-24,50.0,False,PLD
2013-04-25,75.0,False,PLD
2013-04-26,52.0,False,PLD
2013-04-27,66.0,False,PLD
2013-04-28,66.0,False,PLD
2013-04-29,87.0,False,PLD
2013-04-30,65.0,False,PLD
2013-05-01,59.0,False,PLD
2013-05-02,67.0,False,PLD
2013-05-03,70.0,False,PLD
2013-05-04,43.0,False,PLD
2013-05-05,40.0,False,PLD
2013-05-06,60.0,False,PLD
2013-05-07,77.0,False,PLD
2013-05-08,83.0,False,PLD
2013-05-09,72.0,False,PLD
2013-05-10,68.0,False,PLD
2013-05-11,37.0,False,PLD
2013-05-12,77.0,False,PLD
2013-05-13,74.0,False,PLD
2013-05-14,57.0,False,PLD
2013-05-15,58.0,False,PLD
2013-05-16,74.0,False,PLD
2013-05-17,78.0,False,PLD
2013-05-18,50.0,False,PLD
2013-05-19,68.0,False,PLD
2013-05-20,86.0,False,PLD
2013-05-21,74.0,False,PLD
2013-05-22,65.0,False,PLD
2013-05-23,51.0,False,PLD
2013-05-24,56.0,False,PLD
2013-05-25,50.0,False,PLD
2013-05-26,43.0,False,PLD
2013-05-27,69.0,False,PLD
2013-05-28,70.0,False,PLD
2013-05-29,79.0,False,PLD
2013-05-30,71.0,False,PLD
2013-05-31,55.0,False,PLD
2013-06-01,59.0,False,PLD
2013-06-02,64.0,False,PLD
2013-06-03,79.0,False,PLD
2013-06-04,62.0,False,PLD
2013-06-05,60.0,False,PLD
2013-06-06,51.0,False,PLD
2013-06-07,45.0,False,PLD
2013-06-08,53.0,False,PLD
2013-06-09,58.0,False,PLD
2013-06-10,65.0,False,PLD
2013-06-11,65.0,False,PLD
2013-06-12,55.0,False,PLD
2013-06-13,55.0,False,PLD
2013-06-14,58.0,False,PLD
2013-06-15,65.0,False,PLD
2013-06-16,75.0,False,PLD
2013-06-17,67.0,False,PLD
2013-06-18,66.0,False,PLD
2013-06-19,75.0,False,PLD
2013-06-20,69.0,False,PLD
2013-06-21,56.0,False,PLD
2013-06-22,54.0,False,PLD
2013-06-23,39.0,False,PLD
2013-06-24,70.0,False,PLD
