date,gt_index,isPartial,stock
2013-01-01,21.0,False,RHI
2013-01-02,73.0,False,RHI
2013-01-03,77.0,False,RHI
2013-01-04,73.0,False,RHI
2013-01-05,34.0,False,RHI
2013-01-06,45.0,False,RHI
2013-01-07,71.0,False,RHI
2013-01-08,71.0,False,RHI
2013-01-09,56.0,False,RHI
2013-01-10,58.0,False,RHI
2013-01-11,79.0,False,RHI
2013-01-12,55.0,False,RHI
2013-01-13,53.0,False,RHI
2013-01-14,57.0,False,RHI
2013-01-15,61.0,False,RHI
2013-01-16,70.0,False,RHI
2013-01-17,66.0,False,RHI
2013-01-18,70.0,False,RHI
2013-01-19,42.0,False,RHI
2013-01-20,60.0,False,RHI
2013-01-21,72.0,False,RHI
2013-01-22,55.0,False,RHI
2013-01-23,78.0,False,RHI
2013-01-24,66.0,False,RHI
2013-01-25,51.0,False,RHI
2013-01-26,54.0,False,RHI
2013-01-27,50.0,False,RHI
2013-01-28,81.0,False,RHI
2013-01-29,64.0,False,RHI
2013-01-30,85.0,False,RHI
2013-01-31,87.0,False,RHI
2013-02-01,60.0,False,RHI
2013-02-02,39.0,False,RHI
2013-02-03,52.0,False,RHI
2013-02-04,70.0,False,RHI
2013-02-05,73.0,False,RHI
2013-02-06,69.0,False,RHI
2013-02-07,79.0,False,RHI
2013-02-08,62.0,False,RHI
2013-02-09,33.0,False,RHI
2013-02-10,55.0,False,RHI
2013-02-11,78.0,False,RHI
2013-02-12,66.0,False,RHI
2013-02-13,59.0,False,RHI
2013-02-14,73.0,False,RHI
2013-02-15,55.0,False,RHI
2013-02-16,66.0,False,RHI
2013-02-17,64.0,False,RHI
2013-02-18,70.0,False,RHI
2013-02-19,66.0,False,RHI
2013-02-20,62.0,False,RHI
2013-02-21,96.0,False,RHI
2013-02-22,73.0,False,RHI
2013-02-23,57.0,False,RHI
2013-02-24,54.0,False,RHI
2013-02-25,73.0,False,RHI
2013-02-26,71.0,False,RHI
2013-02-27,58.0,False,RHI
2013-02-28,63.0,False,RHI
2013-03-01,77.0,False,RHI
2013-03-02,48.0,False,RHI
2013-03-03,32.0,False,RHI
2013-03-04,56.0,False,RHI
2013-03-05,75.0,False,RHI
2013-03-06,60.0,False,RHI
2013-03-07,64.0,False,RHI
2013-03-08,68.0,False,RHI
2013-03-09,68.0,False,RHI
2013-03-10,74.0,False,RHI
2013-03-11,70.0,False,RHI
2013-03-12,86.0,False,RHI
2013-03-13,89.0,False,RHI
2013-03-14,64.0,False,RHI
2013-03-15,84.0,False,RHI
2013-03-16,43.0,False,RHI
2013-03-17,56.0,False,RHI
2013-03-18,70.0,False,RHI
2013-03-19,80.0,False,RHI
2013-03-20,75.0,False,RHI
2013-03-21,66.0,False,RHI
2013-03-22,73.0,False,RHI
2013-03-23,45.0,False,RHI
2013-03-24,50.0,False,RHI
2013-03-25,67.0,False,RHI
2013-03-26,79.0,False,RHI
2013-03-27,95.0,False,RHI
