date,gt_index,isPartial,stock
2013-01-01,63.0,False,VLO
2013-01-02,70.0,False,VLO
2013-01-03,62.0,False,VLO
2013-01-04,71.0,False,VLO
2013-01-05,64.0,False,VLO
2013-01-06,49.0,False,VLO
2013-01-07,41.0,False,VLO
2013-01-08,59.0,False,VLO
2013-01-09,47.0,False,VLO
2013-01-10,41.0,False,VLO
2013-01-11,39.0,False,VLO
2013-01-12,41.0,False,VLO
2013-01-13,40.0,False,VLO
2013-01-14,59.0,False,VLO
2013-01-15,25.0,False,VLO
2013-01-16,19.0,False,VLO
2013-01-17,53.0,False,VLO
2013-01-18,55.0,False,VLO
2013-01-19,29.0,False,VLO
2013-01-20,40.0,False,VLO
2013-01-21,18.0,False,VLO
2013-01-22,43.0,False,VLO
2013-01-23,43.0,False,VLO
2013-01-24,34.0,False,VLO
2013-01-25,35.0,False,VLO
2013-01-26,18.0,False,VLO
2013-01-27,47.0,False,VLO
2013-01-28,75.0,False,VLO
2013-01-29,91.0,False,VLO
2013-01-30,73.0,False,VLO
2013-01-31,69.0,False,VLO
2013-02-01,100.0,False,VLO
2013-02-02,36.0,False,VLO
2013-02-03,50.0,False,VLO
2013-02-04,33.0,False,VLO
2013-02-05,73.0,False,VLO
2013-02-06,61.0,False,VLO
2013-02-07,56.0,False,VLO
2013-02-08,48.0,False,VLO
2013-02-09,41.0,False,VLO
2013-02-10,33.0,False,VLO
2013-02-11,44.0,False,VLO
2013-02-12,70.0,False,VLO
2013-02-13,71.0,False,VLO
2013-02-14,28.0,False,VLO
2013-02-15,65.0,False,VLO
2013-02-16,33.0,False,VLO
2013-02-17,51.0,False,VLO
2013-02-18,46.0,False,VLO
2013-02-19,36.0,False,VLO
2013-02-20,64.0,False,VLO
2013-02-21,49.0,False,VLO
2013-02-22,73.0,False,VLO
2013-02-23,43.0,False,VLO
2013-02-24,35.0,False,VLO
2013-02-25,48.0,False,VLO
2013-02-26,42.0,False,VLO
2013-02-27,64.0,False,VLO
2013-02-28,58.0,False,VLO
2013-03-01,44.0,False,VLO
2013-03-02,29.0,False,VLO
2013-03-03,39.0,False,VLO
2013-03-04,33.0,False,VLO
2013-03-05,66.0,False,VLO
2013-03-06,52.0,False,VLO
2013-03-07,98.0,False,VLO
2013-03-08,75.0,False,VLO
2013-03-09,50.0,False,VLO
2013-03-10,66.0,False,VLO
2013-03-11,80.0,False,VLO
2013-03-12,61.0,False,VLO
2013-03-13,62.0,False,VLO
2013-03-14,81.0,False,VLO
2013-03-15,68.0,False,VLO
2013-03-16,28.0,False,VLO
2013-03-17,56.0,False,VLO
2013-03-18,59.0,False,VLO
2013-03-19,44.0,False,VLO
2013-03-20,51.0,False,VLO
2013-03-21,42.0,False,VLO
2013-03-22,52.0,False,VLO
2013-03-23,56.0,False,VLO
2013-03-24,28.0,False,VLO
2013-03-25,54.0,False,VLO
2013-03-26,48.0,False,VLO
2013-03-27,49.0,False,VLO
2013-03-28,63.0,False,VLO
2013-03-29,24.0,False,VLO
2013-03-30,33.0,False,VLO
2013-03-31,41.0,False,VLO
2013-04-01,56.0,False,VLO
2013-04-02,86.0,False,VLO
2013-04-03,53.0,False,VLO
2013-04-04,72.0,False,VLO
2013-04-05,80.0,False,VLO
2013-04-06,18.0,False,VLO
2013-04-07,24.0,False,VLO
2013-04-08,65.0,False,VLO
2013-04-09,58.0,False,VLO
2013-04-10,50.0,False,VLO
2013-04-11,57.0,False,VLO
2013-04-12,65.0,False,VLO
2013-04-13,47.0,False,VLO
2013-04-14,25.0,False,VLO
2013-04-15,68.0,False,VLO
2013-04-16,94.0,False,VLO
2013-04-17,48.0,False,VLO
2013-04-18,45.0,False,VLO
2013-04-19,50.0,False,VLO
2013-04-20,39.0,False,VLO
2013-04-21,43.0,False,VLO
2013-04-22,62.0,False,VLO
2013-04-23,47.0,False,VLO
2013-04-24,66.0,False,VLO
2013-04-25,68.0,False,VLO
2013-04-26,54.0,False,VLO
2013-04-27,39.0,False,VLO
2013-04-28,46.0,False,VLO
2013-04-29,65.0,False,VLO
2013-04-30,78.0,False,VLO
2013-05-01,59.0,False,VLO
2013-05-02,88.0,False,VLO
2013-05-03,61.0,False,VLO
2013-05-04,51.0,False,VLO
2013-05-05,33.0,False,VLO
2013-05-06,57.0,False,VLO
2013-05-07,63.0,False,VLO
2013-05-08,48.0,False,VLO
2013-05-09,40.0,False,VLO
2013-05-10,83.0,False,VLO
2013-05-11,50.0,False,VLO
2013-05-12,57.0,False,VLO
2013-05-13,41.0,False,VLO
2013-05-14,62.0,False,VLO
2013-05-15,53.0,False,VLO
2013-05-16,33.0,False,VLO
2013-05-17,53.0,False,VLO
2013-05-18,54.0,False,VLO
2013-05-19,79.0,False,VLO
2013-05-20,51.0,False,VLO
2013-05-21,52.0,False,VLO
2013-05-22,70.0,False,VLO
2013-05-23,35.0,False,VLO
2013-05-24,43.0,False,VLO
2013-05-25,47.0,False,VLO
2013-05-26,54.0,False,VLO
2013-05-27,46.0,False,VLO
2013-05-28,52.0,False,VLO
2013-05-29,46.0,False,VLO
2013-05-30,48.0,False,VLO
2013-05-31,41.0,False,VLO
2013-06-01,39.0,False,VLO
2013-06-02,39.0,False,VLO
2013-06-03,52.0,False,VLO
2013-06-04,79.0,False,VLO
2013-06-05,67.0,False,VLO
2013-06-06,74.0,False,VLO
2013-06-07,31.0,False,VLO
2013-06-08,55.0,False,VLO
2013-06-09,46.0,False,VLO
2013-06-10,55.0,False,VLO
2013-06-11,46.0,False,VLO
2013-06-12,47.0,False,VLO
2013-06-13,42.0,False,VLO
2013-06-14,56.0,False,VLO
2013-06-15,33.0,False,VLO
2013-06-16,43.0,False,VLO
2013-06-17,80.0,False,VLO
2013-06-18,65.0,False,VLO
2013-06-19,41.0,False,VLO
2013-06-20,39.0,False,VLO
2013-06-21,63.0,False,VLO
2013-06-22,29.0,False,VLO
2013-06-23,43.0,False,VLO
2013-06-24,62.0,False,VLO
2013-06-25,62.0,False,VLO
2013-06-26,51.0,False,VLO
2013-06-27,39.0,False,VLO
2013-06-28,66.0,False,VLO
2013-06-29,44.0,False,VLO
2013-06-30,36.0,False,VLO
2013-07-01,41.0,False,VLO
2013-07-02,57.57446808510639,False,VLO
2013-07-03,49.72340425531915,False,VLO
2013-07-04,43.61702127659575,False,VLO
2013-07-05,41.87234042553192,False,VLO
2013-07-06,34.8936170212766,False,VLO
2013-07-07,41.0,False,VLO
2013-07-08,52.340425531914896,False,VLO
2013-07-09,30.53191489361702,False,VLO
2013-07-10,47.1063829787234,False,VLO
2013-07-11,61.93617021276596,False,VLO
2013-07-12,69.7872340425532,False,VLO
2013-07-13,41.0,False,VLO
2013-07-14,54.08510638297872,False,VLO
2013-07-15,49.72340425531915,False,VLO
2013-07-16,63.68085106382979,False,VLO
2013-07-17,39.255319148936174,False,VLO
2013-07-18,47.97872340425532,False,VLO
2013-07-19,49.72340425531915,False,VLO
2013-07-20,34.02127659574468,False,VLO
2013-07-21,34.02127659574468,False,VLO
2013-07-22,33.148936170212764,False,VLO
2013-07-23,74.14893617021276,False,VLO
2013-07-24,63.68085106382979,False,VLO
2013-07-25,42.74468085106383,False,VLO
2013-07-26,43.61702127659575,False,VLO
2013-07-27,37.51063829787234,False,VLO
2013-07-28,27.04255319148936,False,VLO
2013-07-29,65.42553191489363,False,VLO
2013-07-30,74.14893617021276,False,VLO
2013-07-31,36.63829787234043,False,VLO
2013-08-01,59.319148936170215,False,VLO
2013-08-02,41.0,False,VLO
2013-08-03,27.04255319148936,False,VLO
2013-08-04,30.53191489361702,False,VLO
2013-08-05,45.361702127659576,False,VLO
2013-08-06,33.148936170212764,False,VLO
2013-08-07,36.63829787234043,False,VLO
2013-08-08,57.57446808510639,False,VLO
2013-08-09,50.59574468085107,False,VLO
2013-08-10,37.51063829787234,False,VLO
2013-08-11,33.148936170212764,False,VLO
2013-08-12,54.95744680851064,False,VLO
2013-08-13,41.0,False,VLO
2013-08-14,58.4468085106383,False,VLO
2013-08-15,55.829787234042556,False,VLO
2013-08-16,52.340425531914896,False,VLO
2013-08-17,46.23404255319149,False,VLO
2013-08-18,53.21276595744681,False,VLO
2013-08-19,43.61702127659575,False,VLO
2013-08-20,51.46808510638298,False,VLO
2013-08-21,51.46808510638298,False,VLO
2013-08-22,61.06382978723404,False,VLO
2013-08-23,54.95744680851064,False,VLO
2013-08-24,39.255319148936174,False,VLO
2013-08-25,26.170212765957448,False,VLO
2013-08-26,63.68085106382979,False,VLO
2013-08-27,57.57446808510639,False,VLO
2013-08-28,53.21276595744681,False,VLO
2013-08-29,67.17021276595744,False,VLO
2013-08-30,87.2340425531915,False,VLO
2013-08-31,64.55319148936171,False,VLO
2013-09-01,73.27659574468086,False,VLO
2013-09-02,42.74468085106383,False,VLO
2013-09-03,83.74468085106383,False,VLO
2013-09-04,63.68085106382979,False,VLO
2013-09-05,63.68085106382979,False,VLO
2013-09-06,58.4468085106383,False,VLO
2013-09-07,56.70212765957447,False,VLO
2013-09-08,21.808510638297875,False,VLO
2013-09-09,81.12765957446808,False,VLO
2013-09-10,61.06382978723404,False,VLO
2013-09-11,56.70212765957447,False,VLO
2013-09-12,52.340425531914896,False,VLO
2013-09-13,43.61702127659575,False,VLO
2013-09-14,56.70212765957447,False,VLO
2013-09-15,41.87234042553192,False,VLO
2013-09-16,54.08510638297872,False,VLO
2013-09-17,48.851063829787236,False,VLO
2013-09-18,44.48936170212766,False,VLO
2013-09-19,52.340425531914896,False,VLO
2013-09-20,54.95744680851064,False,VLO
2013-09-21,34.02127659574468,False,VLO
2013-09-22,33.148936170212764,False,VLO
2013-09-23,62.808510638297875,False,VLO
2013-09-24,41.87234042553192,False,VLO
2013-09-25,65.42553191489363,False,VLO
2013-09-26,50.59574468085107,False,VLO
2013-09-27,52.340425531914896,False,VLO
2013-09-28,37.51063829787234,False,VLO
2013-09-29,42.74468085106383,False,VLO
2013-09-30,54.08510638297872,False,VLO
2013-10-01,40.12765957446808,False,VLO
2013-10-02,56.70212765957447,False,VLO
2013-10-03,70.65957446808511,False,VLO
2013-10-04,43.61702127659575,False,VLO
2013-10-05,34.02127659574468,False,VLO
2013-10-06,48.851063829787236,False,VLO
2013-10-07,41.0,False,VLO
2013-10-08,56.70212765957447,False,VLO
2013-10-09,49.72340425531915,False,VLO
2013-10-10,52.340425531914896,False,VLO
2013-10-11,38.38297872340426,False,VLO
2013-10-12,41.0,False,VLO
2013-10-13,34.02127659574468,False,VLO
2013-10-14,52.340425531914896,False,VLO
2013-10-15,54.95744680851064,False,VLO
2013-10-16,49.72340425531915,False,VLO
2013-10-17,54.95744680851064,False,VLO
2013-10-18,59.319148936170215,False,VLO
2013-10-19,61.93617021276596,False,VLO
2013-10-20,39.255319148936174,False,VLO
2013-10-21,58.4468085106383,False,VLO
2013-10-22,53.21276595744681,False,VLO
2013-10-23,47.97872340425532,False,VLO
2013-10-24,64.55319148936171,False,VLO
2013-10-25,61.06382978723404,False,VLO
2013-10-26,40.12765957446808,False,VLO
2013-10-27,53.21276595744681,False,VLO
2013-10-28,62.808510638297875,False,VLO
2013-10-29,75.02127659574468,False,VLO
2013-10-30,68.91489361702128,False,VLO
2013-10-31,55.829787234042556,False,VLO
2013-11-01,53.21276595744681,False,VLO
2013-11-02,18.319148936170215,False,VLO
2013-11-03,29.659574468085108,False,VLO
2013-11-04,40.12765957446808,False,VLO
2013-11-05,52.340425531914896,False,VLO
2013-11-06,42.74468085106383,False,VLO
2013-11-07,33.148936170212764,False,VLO
2013-11-08,39.255319148936174,False,VLO
2013-11-09,42.74468085106383,False,VLO
2013-11-10,17.4468085106383,False,VLO
2013-11-11,51.46808510638298,False,VLO
2013-11-12,47.97872340425532,False,VLO
2013-11-13,50.59574468085107,False,VLO
2013-11-14,59.319148936170215,False,VLO
2013-11-15,40.12765957446808,False,VLO
2013-11-16,33.148936170212764,False,VLO
2013-11-17,26.170212765957448,False,VLO
2013-11-18,57.57446808510639,False,VLO
2013-11-19,52.340425531914896,False,VLO
2013-11-20,50.59574468085107,False,VLO
2013-11-21,47.97872340425532,False,VLO
2013-11-22,47.1063829787234,False,VLO
2013-11-23,38.38297872340426,False,VLO
2013-11-24,40.12765957446808,False,VLO
2013-11-25,71.53191489361703,False,VLO
2013-11-26,49.72340425531915,False,VLO
2013-11-27,57.57446808510639,False,VLO
2013-11-28,37.51063829787234,False,VLO
2013-11-29,42.74468085106383,False,VLO
2013-11-30,29.659574468085108,False,VLO
2013-12-01,27.914893617021278,False,VLO
2013-12-02,55.829787234042556,False,VLO
2013-12-03,54.08510638297872,False,VLO
2013-12-04,52.340425531914896,False,VLO
2013-12-05,50.59574468085107,False,VLO
2013-12-06,52.340425531914896,False,VLO
2013-12-07,35.765957446808514,False,VLO
2013-12-08,23.5531914893617,False,VLO
2013-12-09,64.55319148936171,False,VLO
2013-12-10,59.319148936170215,False,VLO
2013-12-11,45.361702127659576,False,VLO
2013-12-12,51.46808510638298,False,VLO
2013-12-13,50.59574468085107,False,VLO
2013-12-14,39.255319148936174,False,VLO
2013-12-15,41.87234042553192,False,VLO
2013-12-16,60.19148936170213,False,VLO
2013-12-17,51.46808510638298,False,VLO
2013-12-18,28.787234042553195,False,VLO
2013-12-19,45.361702127659576,False,VLO
2013-12-20,78.51063829787235,False,VLO
2013-12-21,31.404255319148938,False,VLO
2013-12-22,25.297872340425535,False,VLO
2013-12-23,30.53191489361702,False,VLO
2013-12-24,40.12765957446808,False,VLO
2013-12-25,54.08510638297872,False,VLO
2013-12-26,40.12765957446808,False,VLO
2013-12-27,27.914893617021278,False,VLO
2013-12-28,24.425531914893618,False,VLO
2013-12-29,24.425531914893618,False,VLO
2013-12-30,41.0,False,VLO
2013-12-31,33.148936170212764,False,VLO
2014-01-01,19.19148936170213,False,VLO
2014-01-02,12.794326241134753,False,VLO
2014-01-03,28.496453900709223,False,VLO
2014-01-04,17.4468085106383,False,VLO
2014-01-05,8.141843971631207,False,VLO
2014-01-06,20.93617021276596,False,VLO
2014-01-07,27.333333333333336,False,VLO
2014-01-08,28.496453900709223,False,VLO
2014-01-09,35.47517730496454,False,VLO
2014-01-10,13.957446808510639,False,VLO
2014-01-11,20.354609929078016,False,VLO
