Date,Open,High,Low,Close,Adj Close,Volume,stock
2013-01-02,13.72,14.01,13.6,13.98,13.429603,6662000,AAL
2013-01-03,14.02,14.13,13.6,13.66,13.122202,5398400,AAL
2013-01-04,13.8,14.87,13.76,14.73,14.150075,12048300,AAL
2013-01-07,14.79,14.98,14.53,14.84,14.255745000000001,5730600,AAL
2013-01-08,14.89,15.25,14.78,15.16,14.563147,8034400,AAL
2013-01-09,15.12,15.5,15.04,15.13,14.534328,8493100,AAL
2013-01-10,15.2,15.28,14.84,15.14,14.543934,5248800,AAL
2013-01-11,15.1,15.31,14.72,14.78,14.198107,4829400,AAL
2013-01-14,14.81,14.81,14.41,14.67,14.092437,5978000,AAL
2013-01-15,14.24,14.53,14.11,14.31,13.746610999999998,7384900,AAL
2013-01-16,14.39,14.7,14.22,14.63,14.054013000000001,4263600,AAL
2013-01-17,14.83,14.87,14.28,14.48,13.909918,4675000,AAL
2013-01-18,14.52,14.62,14.3,14.44,13.871494,5297400,AAL
2013-01-22,14.47,14.92,14.44,14.85,14.265353,6520700,AAL
2013-01-23,15.32,15.64,15.02,15.07,14.476689000000002,15854900,AAL
2013-01-24,15.04,15.39,14.44,14.67,14.092437,7112300,AAL
2013-01-25,14.7,15.2,14.49,14.97,14.380628,8381900,AAL
2013-01-28,15.0,15.31,14.85,15.03,14.438264000000002,6544500,AAL
2013-01-29,14.98,15.04,14.2,14.42,13.852279999999999,10258600,AAL
2013-01-30,14.46,14.51,14.21,14.3,13.737006,4873200,AAL
2013-01-31,14.28,14.55,14.22,14.28,13.717792999999999,4575800,AAL
2013-02-01,14.43,14.57,14.02,14.12,13.564091000000001,5308600,AAL
2013-02-04,14.08,14.42,13.95,13.99,13.439210999999998,4441000,AAL
2013-02-05,14.13,14.26,13.86,14.09,13.535273000000002,4175900,AAL
2013-02-06,14.06,14.58,14.06,14.56,13.986768,5239800,AAL
2013-02-07,14.91,15.4,14.63,15.11,14.515114,16835700,AAL
2013-02-08,15.07,15.12,14.63,14.75,14.169286999999999,8407500,AAL
2013-02-11,14.89,15.01,14.26,14.46,13.890704000000001,8882000,AAL
2013-02-12,14.45,14.51,14.1,14.27,13.708185999999998,8126000,AAL
2013-02-13,14.3,14.94,14.25,14.66,14.082831,10259500,AAL
2013-02-14,14.94,14.96,13.16,13.99,13.439210999999998,31879900,AAL
2013-02-15,13.93,14.61,13.93,14.5,13.929132000000001,15628000,AAL
2013-02-19,14.33,14.56,14.08,14.26,13.698580999999999,11354400,AAL
2013-02-20,14.17,14.26,13.15,13.33,12.805194,14725200,AAL
2013-02-21,13.62,13.95,12.9,13.37,12.843618,11922100,AAL
2013-02-22,13.57,13.6,13.21,13.57,13.035745,6071400,AAL
2013-02-25,13.6,13.76,13.0,13.02,12.507401,7186400,AAL
2013-02-26,13.14,13.42,12.7,13.26,12.737949,9419000,AAL
2013-02-27,13.28,13.62,13.18,13.41,12.882044,7390500,AAL
2013-02-28,13.49,13.63,13.39,13.43,12.901257000000001,6143600,AAL
2013-03-01,13.37,13.95,13.32,13.61,13.074172,7376800,AAL
2013-03-04,13.5,14.07,13.47,13.9,13.352751000000001,8174800,AAL
2013-03-05,14.01,14.05,13.71,14.05,13.496847,7676100,AAL
2013-03-06,14.52,14.68,14.25,14.57,13.996374,13243200,AAL
2013-03-07,14.7,14.93,14.5,14.82,14.236532,9125300,AAL
2013-03-08,14.99,15.2,14.84,14.92,14.332593,10593700,AAL
2013-03-11,14.85,15.15,14.71,15.13,14.534328,6961800,AAL
2013-03-12,15.14,15.6,14.95,15.5,14.889762,8999100,AAL
2013-03-13,15.54,16.200001,15.48,15.91,15.28362,11380000,AAL
2013-03-14,15.98,16.360001,15.93,16.25,15.610233,8383300,AAL
2013-03-15,16.450001,16.540001,15.88,15.98,15.350863,17667700,AAL
2013-03-18,15.8,16.33,15.71,16.290001,15.648660000000001,6514100,AAL
2013-03-19,16.48,16.85,16.41,16.780001000000002,16.119367999999998,11805300,AAL
2013-03-20,17.129998999999998,17.33,16.870001000000002,17.23,16.551651,10819800,AAL
2013-03-21,17.209999,17.43,16.870001000000002,17.0,16.330704,10740800,AAL
2013-03-22,17.1,17.290001,16.77,16.860001,16.196218,8545200,AAL
2013-03-25,16.92,17.0,16.35,16.6,15.946453,8400000,AAL
2013-03-26,16.67,16.84,16.5,16.51,15.859997,6898500,AAL
2013-03-27,16.48,16.77,16.33,16.65,15.994484,5537100,AAL
2013-03-28,17.0,17.09,16.82,16.969998999999998,16.301886,8324100,AAL
2013-04-01,17.02,17.129998999999998,16.540001,16.67,16.0137,5222300,AAL
2013-04-02,16.48,16.5,15.71,15.74,15.120313000000001,14595600,AAL
2013-04-03,15.82,15.92,15.13,15.53,14.918576999999999,14658300,AAL
2013-04-04,15.12,15.71,15.12,15.69,15.072279,5520300,AAL
2013-04-05,15.17,15.79,15.03,15.72,15.101099,5252300,AAL
2013-04-08,15.82,15.97,15.53,15.84,15.216376,3780700,AAL
2013-04-09,16.07,16.1,15.67,15.7,15.081885999999999,4420200,AAL
2013-04-10,15.74,15.98,15.7,15.78,15.158735,3650600,AAL
2013-04-11,15.77,16.379998999999998,15.75,16.190001000000002,15.552595000000002,5062200,AAL
2013-04-12,16.110001,16.389999,15.95,16.139999,15.504564000000002,3751800,AAL
2013-04-15,16.200001,16.389999,15.47,15.59,14.976217000000002,6243400,AAL
2013-04-16,15.96,16.74,15.81,16.370001000000002,15.725511,10458200,AAL
2013-04-17,16.17,16.549999,15.9,16.52,15.869603,6581900,AAL
2013-04-18,16.540001,16.540001,15.95,16.1,15.466141,7633300,AAL
2013-04-19,16.1,16.24,15.85,16.02,15.389289999999999,5762600,AAL
2013-04-22,15.99,16.0,15.5,15.52,14.908973999999999,9227100,AAL
2013-04-23,15.33,16.49,15.33,16.299999,15.658261999999999,12302300,AAL
2013-04-24,16.26,16.5,16.0,16.450001,15.802357,6114400,AAL
2013-04-25,16.549999,16.73,16.190001000000002,16.219998999999998,15.581411,5548800,AAL
2013-04-26,16.379998999999998,16.73,16.16,16.59,15.936848000000001,7272100,AAL
2013-04-29,16.700001,16.969998999999998,16.559998999999998,16.809998999999998,16.148186,5436400,AAL
2013-04-30,16.799999,17.049999,16.57,16.9,16.23464,3640700,AAL
2013-05-01,16.91,17.17,16.6,16.6,15.946453,4943600,AAL
2013-05-02,16.719998999999998,16.98,16.6,16.940001000000002,16.273064,4888900,AAL
2013-05-03,17.02,17.190001000000002,16.889999,17.02,16.34992,6451900,AAL
2013-05-06,17.049999,17.110001,16.91,17.0,16.330704,3930700,AAL
