Date,Open,High,Low,Close,Adj Close,Volume,stock
2013-01-02,13.23,13.28,13.0,13.2,10.43455,75274700,F
2013-01-03,13.24,13.7,13.05,13.46,10.640079,121284700,F
2013-01-04,13.51,13.61,13.35,13.57,10.727033,54669900,F
2013-01-07,13.52,13.58,13.35,13.43,10.616364,43482400,F
2013-01-08,13.38,13.43,13.2,13.35,10.553125,46336200,F
2013-01-09,13.4,13.6,13.39,13.47,10.647984,36973900,F
2013-01-10,13.78,13.94,13.68,13.83,10.932561999999999,84884300,F
2013-01-11,14.0,14.07,13.9,14.0,11.066946000000002,67641200,F
2013-01-14,14.04,14.08,13.86,13.99,11.05904,46224800,F
2013-01-15,13.91,14.3,13.89,14.3,11.304097,55425000,F
2013-01-16,14.16,14.25,14.01,14.22,11.240857,51453400,F
2013-01-17,14.27,14.3,14.07,14.22,11.240857,44299300,F
2013-01-18,14.1,14.13,13.97,14.11,11.153902,45716100,F
2013-01-22,14.06,14.19,14.0,14.17,11.201329,35467900,F
2013-01-23,14.0,14.02,13.79,13.88,10.972088000000001,58122200,F
2013-01-24,13.82,13.98,13.81,13.87,10.964183,42532700,F
2013-01-25,13.83,13.84,13.64,13.68,10.813988,53405400,F
2013-01-28,13.49,13.82,13.42,13.78,10.97325,51189300,F
2013-01-29,13.56,13.61,12.89,13.14,10.463607000000001,131146500,F
2013-01-30,13.01,13.2,12.89,12.93,10.296382000000001,59595900,F
2013-01-31,12.86,13.02,12.67,12.95,10.312307,65844000,F
2013-02-01,13.1,13.13,12.94,13.02,10.36805,45222500,F
2013-02-04,12.94,13.0,12.86,12.88,10.256566000000001,32702200,F
2013-02-05,12.97,13.25,12.94,13.18,10.495461,39116500,F
2013-02-06,13.13,13.27,13.05,13.2,10.511388,33520400,F
2013-02-07,13.26,13.31,13.0,13.07,10.407866,33987500,F
2013-02-08,13.1,13.16,13.05,13.1,10.431756,18613300,F
2013-02-11,13.06,13.2,13.02,13.11,10.43972,17688900,F
2013-02-12,13.12,13.2,13.05,13.08,10.415828999999999,26243300,F
2013-02-13,13.11,13.14,12.99,13.04,10.383975999999999,24503600,F
2013-02-14,13.0,13.17,12.96,13.11,10.43972,33489000,F
2013-02-15,13.14,13.14,13.01,13.02,10.36805,32418700,F
2013-02-19,13.04,13.09,12.9,12.99,10.344159,31089900,F
2013-02-20,12.95,12.98,12.57,12.6,10.033598,50381800,F
2013-02-21,12.51,12.51,12.3,12.39,9.86637,43703700,F
2013-02-22,12.44,12.5,12.31,12.48,9.938037,23866400,F
2013-02-25,12.53,12.57,12.1,12.13,9.659327000000001,38627200,F
2013-02-26,12.24,12.35,12.11,12.34,9.826555,29191400,F
2013-02-27,12.35,12.85,12.35,12.76,10.161007000000001,51569900,F
2013-02-28,12.78,12.87,12.6,12.61,10.041556,37659400,F
2013-03-01,12.56,12.75,12.38,12.61,10.041556,38806100,F
2013-03-04,12.55,12.75,12.53,12.75,10.153044,24337100,F
2013-03-05,12.87,12.98,12.79,12.87,10.248602,26863200,F
2013-03-06,12.97,13.0,12.85,12.89,10.264527000000001,28953400,F
2013-03-07,12.89,12.91,12.77,12.83,10.216749,27702800,F
2013-03-08,12.94,12.99,12.81,12.98,10.336196000000001,24715100,F
2013-03-11,12.97,13.4,12.9,13.34,10.622871,48696900,F
2013-03-12,13.37,13.47,13.17,13.39,10.662688000000001,46047600,F
2013-03-13,13.37,13.45,13.35,13.4,10.67065,26467800,F
2013-03-14,13.43,13.45,13.37,13.43,10.69454,31653300,F
2013-03-15,13.31,13.45,13.26,13.45,10.710465,62961000,F
2013-03-18,13.16,13.39,12.8,13.26,10.559166000000001,36877600,F
2013-03-19,13.27,13.35,13.09,13.16,10.479534,37639900,F
2013-03-20,13.22,13.4,13.18,13.36,10.638797,32690500,F
2013-03-21,13.25,13.42,13.23,13.26,10.559166000000001,29740300,F
2013-03-22,13.24,13.31,13.2,13.26,10.559166000000001,21423900,F
2013-03-25,13.31,13.4,13.26,13.29,10.583056,27238000,F
2013-03-26,13.35,13.37,13.24,13.31,10.598981,24236700,F
2013-03-27,13.23,13.25,13.1,13.22,10.527313000000001,26240600,F
2013-03-28,13.24,13.24,13.1,13.15,10.47157,25472400,F
2013-04-01,13.01,13.15,12.9,12.9,10.272491,32961500,F
2013-04-02,13.0,13.19,12.96,13.01,10.360087,35189300,F
2013-04-03,13.05,13.05,12.59,12.68,10.097301,45189000,F
2013-04-04,12.68,12.78,12.45,12.65,10.073412,29803800,F
2013-04-05,12.43,12.5,12.15,12.44,9.906184,42605700,F
2013-04-08,12.46,12.83,12.4,12.78,10.176932,23884700,F
2013-04-09,12.85,12.96,12.75,12.8,10.192860000000001,29826000,F
2013-04-10,12.87,13.13,12.82,13.12,10.447681,31089600,F
2013-04-11,13.15,13.58,13.13,13.55,10.790097,51493300,F
2013-04-12,13.43,13.55,13.26,13.53,10.774172,37955000,F
2013-04-15,13.36,13.46,12.91,12.95,10.312307,55885900,F
2013-04-16,13.17,13.24,13.0,13.12,10.447681,36338200,F
2013-04-17,12.97,13.05,12.8,12.93,10.296382000000001,44583600,F
2013-04-18,12.94,12.98,12.65,12.75,10.153044,34877900,F
2013-04-19,12.88,12.97,12.75,12.93,10.296382000000001,26971400,F
2013-04-22,12.97,13.08,12.8,13.06,10.399904,26082200,F
2013-04-23,13.12,13.45,13.11,13.36,10.638797,40082600,F
2013-04-24,13.48,13.54,13.12,13.33,10.614906,46026300,F
2013-04-25,13.4,13.56,13.35,13.47,10.726392,42016000,F
2013-04-26,13.52,13.76,13.45,13.67,10.885655,43814900,F
2013-04-29,13.73,13.76,13.57,13.66,10.87769,20659200,F
2013-04-30,13.66,13.74,13.52,13.71,10.917508,24858800,F
2013-05-01,13.64,13.78,13.35,13.38,10.733009,39344800,F
2013-05-02,13.54,13.55,13.38,13.41,10.757076,33982900,F
2013-05-03,13.58,13.83,13.57,13.83,11.093986,45933600,F
2013-05-06,13.86,14.15,13.83,14.09,11.30255,53821400,F
2013-05-07,14.2,14.25,14.09,14.19,11.382767999999999,42070400,F
2013-05-08,14.15,14.24,14.1,14.21,11.398808,33334600,F
2013-05-09,14.19,14.26,14.16,14.2,11.390789,30575000,F
2013-05-10,14.21,14.23,14.02,14.11,11.318594000000001,30885100,F
2013-05-13,14.1,14.12,13.92,14.01,11.238377,22758500,F
2013-05-14,14.0,14.3,13.98,14.27,11.446939,32390700,F
2013-05-15,14.28,14.77,14.27,14.67,11.767806,56875000,F
2013-05-16,14.77,14.85,14.6,14.64,11.743742,40924300,F
2013-05-17,14.79,15.15,14.75,15.08,12.096695,59729800,F
2013-05-20,15.01,15.23,15.0,15.05,12.072632,34580000,F
2013-05-21,15.07,15.22,14.75,14.95,11.992415,61840300,F
2013-05-22,15.08,15.32,14.86,14.97,12.008458000000001,67147900,F
2013-05-23,14.5,14.94,14.37,14.81,11.880109,49128700,F
2013-05-24,14.71,14.88,14.66,14.79,11.864066000000001,25287100,F
2013-05-28,15.22,15.35,15.1,15.28,12.25713,59250500,F
2013-05-29,15.27,15.72,15.24,15.63,12.537888,65167400,F
2013-05-30,15.76,16.02,15.74,15.9,12.754474,61805000,F
2013-05-31,15.88,16.040001,15.68,15.68,12.577998,52117500,F
2013-06-03,15.93,16.08,15.51,15.89,12.74645,59017900,F
2013-06-04,15.98,16.09,15.63,15.78,12.658213,50273400,F
2013-06-05,15.7,15.71,15.18,15.25,12.233066,64862400,F
2013-06-06,15.25,15.48,15.06,15.44,12.385477999999999,54819200,F
2013-06-07,15.58,15.76,15.46,15.73,12.618106,37099500,F
2013-06-10,15.86,15.9,15.6,15.71,12.602063000000001,29589300,F
2013-06-11,15.52,15.68,15.4,15.51,12.441626,35360600,F
2013-06-12,15.63,15.71,15.31,15.37,12.329324,36207400,F
2013-06-13,15.31,15.6,15.18,15.58,12.497779,34327500,F
2013-06-14,15.52,15.57,15.35,15.37,12.329324,27186000,F
2013-06-17,15.53,15.72,15.44,15.55,12.473713,31340000,F
2013-06-18,15.54,15.71,15.44,15.65,12.553930000000001,25950200,F
2013-06-19,15.6,15.62,15.31,15.32,12.289216999999999,35997500,F
2013-06-20,15.19,15.28,14.75,14.82,11.888131,57313900,F
2013-06-21,15.02,15.06,14.59,15.0,12.03252,48218100,F
2013-06-24,14.67,14.83,14.3,14.67,11.767806,58598000,F
2013-06-25,14.85,15.0,14.84,14.97,12.008458000000001,34031900,F
2013-06-26,15.16,15.31,15.1,15.29,12.265151,39595100,F
2013-06-27,15.43,15.7,15.39,15.65,12.553930000000001,35859600,F
2013-06-28,15.56,15.65,15.44,15.47,12.409539,45034700,F
2013-07-01,15.61,15.79,15.56,15.74,12.626127,36012200,F
2013-07-02,15.76,16.209999,15.69,16.18,12.979078999999999,70275900,F
2013-07-03,16.15,16.450001,16.139999,16.43,13.179623000000001,38114000,F
2013-07-05,16.530001000000002,16.74,16.48,16.700001,13.396208999999999,44728400,F
2013-07-08,16.85,16.93,16.75,16.809998999999998,13.484447,42019600,F
2013-07-09,16.860001,16.940001000000002,16.719998999999998,16.84,13.508512,33762200,F
2013-07-10,16.76,16.879998999999998,16.65,16.719998999999998,13.41225,38162900,F
2013-07-11,16.950001,16.99,16.860001,16.98,13.620814999999999,34601800,F
2013-07-12,16.98,17.110001,16.969998999999998,17.110001,13.7251,27297500,F
2013-07-15,17.24,17.290001,17.1,17.120001000000002,13.733119,26663500,F
2013-07-16,16.950001,16.950001,16.41,16.6,13.31599,63282600,F
2013-07-17,16.639999,16.83,16.620001000000002,16.780001000000002,13.460382000000001,27888100,F
2013-07-18,16.82,16.98,16.780001000000002,16.93,13.580706,24606400,F
2013-07-19,16.889999,16.889999,16.65,16.76,13.444339999999999,29592500,F
2013-07-22,16.870001000000002,17.040001,16.83,17.040001,13.668945,28745600,F
2013-07-23,17.16,17.17,16.82,16.940001000000002,13.588731,35016900,F
2013-07-24,17.48,17.68,17.25,17.370001000000002,13.933659,78608500,F
2013-07-25,17.26,17.27,16.879998999999998,16.959999,13.604772,51510200,F
2013-07-26,16.92,17.129998999999998,16.9,17.02,13.652899,30356000,F
2013-07-29,17.08,17.190001000000002,17.049999,17.08,13.701031,27823400,F
2013-07-30,17.190001000000002,17.25,17.059998999999998,17.08,13.701031,25879200,F
2013-07-31,17.09,17.15,16.84,16.879998999999998,13.620344000000001,42156300,F
2013-08-01,17.040001,17.209999,16.950001,17.190001000000002,13.870478,39519600,F
2013-08-02,17.15,17.5,17.120001000000002,17.5,14.120614000000002,32233600,F
2013-08-05,17.440001000000002,17.5,17.110001,17.190001000000002,13.870478,53813000,F
2013-08-06,17.18,17.23,17.0,17.030001000000002,13.741373000000001,29014000,F
2013-08-07,16.950001,16.959999,16.719998999999998,16.77,13.531584,33058100,F
2013-08-08,16.940001000000002,17.030001000000002,16.870001000000002,16.98,13.701032000000001,26626200,F
2013-08-09,16.950001,17.110001,16.940001000000002,17.02,13.733304,25625300,F
2013-08-12,16.91,17.139999,16.889999,17.07,13.77365,23170600,F
2013-08-13,17.15,17.209999,16.959999,17.059998999999998,13.765582,22372000,F
2013-08-14,17.040001,17.059998999999998,16.85,16.889999,13.628413,29255700,F
2013-08-15,16.709999,16.73,16.219998999999998,16.43,13.257241,55905300,F
2013-08-16,16.450001,16.6,16.219998999999998,16.299999,13.152345,30477300,F
2013-08-19,16.290001,16.309998999999998,16.110001,16.120001000000002,13.007108,28013600,F
2013-08-20,16.059998999999998,16.360001,15.82,16.309998999999998,13.160411999999999,42599300,F
2013-08-21,16.309998999999998,16.42,16.110001,16.25,13.112,34926600,F
2013-08-22,16.290001,16.49,16.25,16.41,13.241098999999998,16464700,F
2013-08-23,16.469998999999998,16.52,16.35,16.450001,13.273379,21547100,F
2013-08-26,16.440001000000002,16.620001000000002,16.379998999999998,16.41,13.241098999999998,24792600,F
2013-08-27,16.16,16.18,15.85,15.88,12.813450999999999,44005000,F
2013-08-28,15.86,16.15,15.71,16.02,12.926414,37027600,F
2013-08-29,16.209999,16.66,16.15,16.5,13.313725,47714900,F
2013-08-30,16.58,16.59,16.120001000000002,16.190001000000002,13.063587,40290600,F
2013-09-03,16.42,16.540001,16.209999,16.34,13.184621,33457700,F
2013-09-04,16.379998999999998,17.02,16.370001000000002,16.91,13.64455,69533900,F
2013-09-05,17.1,17.35,17.030001000000002,17.299999,13.959235999999999,55979000,F
2013-09-06,17.33,17.34,16.82,17.0,13.717170000000001,61718600,F
2013-09-09,17.110001,17.41,17.1,17.309998999999998,13.967303,38517000,F
2013-09-10,17.49,17.68,17.370001000000002,17.549999,14.160960999999999,45850700,F
2013-09-11,17.5,17.58,17.389999,17.540001,14.152891,32902300,F
2013-09-12,17.549999,17.559998999999998,17.309998999999998,17.389999,14.031857999999998,26855400,F
2013-09-13,17.450001,17.49,17.280001000000002,17.35,13.999579,21572800,F
2013-09-16,17.530001000000002,17.59,17.299999,17.35,13.999579,26976600,F
2013-09-17,17.35,17.450001,17.299999,17.440001000000002,14.072203,23176300,F
2013-09-18,17.360001,17.77,17.34,17.629998999999998,14.225511,45114100,F
2013-09-19,17.75,17.77,17.51,17.66,14.249718,30748200,F
2013-09-20,17.709999,17.709999,17.299999,17.389999,14.031857999999998,47887900,F
2013-09-23,17.27,17.35,16.98,17.200001,13.878549,42733400,F
2013-09-24,17.23,17.4,17.08,17.26,13.926963,33787600,F
2013-09-25,17.25,17.4,17.16,17.190001000000002,13.870478,31630300,F
2013-09-26,17.26,17.379998999999998,17.120001000000002,17.27,13.935031,32360900,F
2013-09-27,17.17,17.200001,17.0,17.049999,13.757515,34022600,F
2013-09-30,16.77,17.01,16.690001000000002,16.870001000000002,13.612273000000002,36511300,F
2013-10-01,16.93,17.34,16.92,17.190001000000002,13.870478,41817000,F
2013-10-02,17.09,17.219998999999998,16.950001,17.209999,13.886619,29527300,F
2013-10-03,17.110001,17.17,16.76,16.950001,13.676826,36628800,F
2013-10-04,16.969998999999998,17.139999,16.940001000000002,17.09,13.789789,24991600,F
2013-10-07,16.860001,16.950001,16.809998999999998,16.809998999999998,13.563861,30339600,F
2013-10-08,16.83,16.85,16.450001,16.5,13.313725,45491300,F
2013-10-09,16.51,16.74,16.35,16.620001000000002,13.410552,50838200,F
2013-10-10,16.870001000000002,17.0,16.83,16.93,13.660685999999998,46955700,F
2013-10-11,17.02,17.120001000000002,16.879998999999998,17.110001,13.805931,30814200,F
2013-10-14,16.93,17.25,16.92,17.18,13.86241,31229600,F
2013-10-15,17.18,17.209999,16.950001,16.969998999999998,13.692964000000002,39294100,F
2013-10-16,17.08,17.290001,17.030001000000002,17.290001,13.951169,33098300,F
2013-10-17,17.24,17.49,17.24,17.459999,14.088338,26889400,F
2013-10-18,17.52,17.549999,17.43,17.530001000000002,14.144823,23022100,F
2013-10-21,17.59,17.6,17.41,17.5,14.120614000000002,22159700,F
2013-10-22,17.549999,17.68,17.440001000000002,17.6,14.201306,30226500,F
2013-10-23,17.66,17.709999,17.389999,17.52,14.136753,45496200,F
2013-10-24,18.01,18.02,17.639999,17.76,14.330407999999998,71402500,F
2013-10-25,17.84,17.85,17.42,17.6,14.201306,47515700,F
2013-10-28,17.66,17.719998999999998,17.52,17.57,14.177097,37323000,F
2013-10-29,17.57,17.620001000000002,17.41,17.610001,14.209373000000001,36931500,F
2013-10-30,17.620001000000002,17.639999,17.25,17.34,14.071418,39898500,F
2013-10-31,17.290001,17.33,17.1,17.110001,13.884775,38742700,F
2013-11-01,17.24,17.24,16.76,16.889999,13.706244,52493000,F
2013-11-04,16.969998999999998,17.01,16.780001000000002,17.0,13.795509,33974700,F
2013-11-05,16.889999,17.139999,16.83,17.09,13.868542000000001,43517500,F
2013-11-06,17.16,17.200001,16.85,16.91,13.722473,37052400,F
2013-11-07,16.91,16.92,16.530001000000002,16.549999,13.43033,47526900,F
