Date,Open,High,Low,Close,Adj Close,Volume,stock
2013-01-02,49.869999,50.450001,49.84,50.209998999999996,43.741592,977000,HRS
2013-01-03,50.209998999999996,50.459998999999996,49.419998,49.439999,43.070797,774000,HRS
2013-01-04,49.580002,50.240002000000004,49.25,49.880001,43.454109,711000,HRS
2013-01-07,49.59,50.209998999999996,49.34,50.07,43.619644,764600,HRS
2013-01-08,49.369999,49.52,48.830002,48.91,42.609058000000005,858400,HRS
2013-01-09,49.119999,50.009997999999996,49.049999,50.0,43.558655,1139000,HRS
2013-01-10,50.279999,50.529999,49.810001,50.040001000000004,43.593502,495800,HRS
2013-01-11,50.290001000000004,50.290001000000004,49.709998999999996,49.75,43.340858000000004,596400,HRS
2013-01-14,49.669998,49.669998,48.869999,49.189999,42.852996999999995,616100,HRS
2013-01-15,48.950001,49.700001,48.900002,49.650002,43.253741999999995,634800,HRS
2013-01-16,49.560001,49.630001,49.310001,49.490002000000004,43.114346000000005,365700,HRS
2013-01-17,49.860001000000004,50.02,49.66,49.73,43.323440999999995,627800,HRS
2013-01-18,49.75,50.09,49.049999,49.939999,43.506374,860700,HRS
2013-01-22,50.029999,50.130001,49.48,49.849998,43.427982,619300,HRS
2013-01-23,49.950001,50.060001,49.419998,49.549999,43.166618,543300,HRS
2013-01-24,49.59,49.849998,49.240002000000004,49.48,43.10564,764600,HRS
2013-01-25,49.5,49.639998999999996,49.189999,49.490002000000004,43.114346000000005,812500,HRS
2013-01-28,49.720001,49.720001,49.110001000000004,49.25,42.90527,686200,HRS
2013-01-29,48.82,48.84,46.720001,47.09,41.023552,1678100,HRS
2013-01-30,46.779999,47.490002000000004,46.720001,46.900002,40.858025,984400,HRS
2013-01-31,46.860001000000004,47.049999,46.150002,46.200001,40.248199,1315100,HRS
2013-02-01,46.040001000000004,46.5,45.610001000000004,46.279999,40.317886,1387600,HRS
2013-02-04,46.009997999999996,46.25,45.650002,45.68,39.795185,746800,HRS
2013-02-05,45.82,46.389998999999996,45.73,46.310001,40.344028,730200,HRS
2013-02-06,46.099998,46.700001,45.970001,46.5,40.509547999999995,648000,HRS
2013-02-07,46.560001,46.880001,46.209998999999996,46.529999,40.535683,879900,HRS
2013-02-08,46.689999,47.029999,46.490002000000004,46.619999,40.614086,811500,HRS
2013-02-11,46.529999,46.860001000000004,46.27,46.540001000000004,40.544395,813000,HRS
2013-02-12,46.59,46.889998999999996,46.369999,46.75,40.727345,661900,HRS
2013-02-13,46.84,47.18,46.630001,47.099998,41.032253000000004,639000,HRS
2013-02-14,46.959998999999996,47.869999,46.869999,47.740002000000004,41.589806,932900,HRS
2013-02-15,47.939999,47.970001,47.450001,47.610001000000004,41.476555,900100,HRS
2013-02-19,47.57,48.060001,47.299999,47.650002,41.511402000000004,967900,HRS
2013-02-20,47.18,47.880001,47.18,47.459998999999996,41.345875,847200,HRS
2013-02-21,47.209998999999996,47.209998999999996,46.68,47.0,40.945126,878400,HRS
2013-02-22,47.130001,48.200001,47.130001,47.98,41.798893,858300,HRS
2013-02-25,48.259997999999996,48.369999,47.099998,47.099998,41.032253000000004,978500,HRS
2013-02-26,47.09,47.459998999999996,46.900002,47.310001,41.215195,775600,HRS
2013-02-27,47.34,48.490002000000004,47.34,48.060001,41.86858,923800,HRS
2013-02-28,47.919998,48.439999,47.919998,48.07,41.877285,816200,HRS
2013-03-01,47.849998,48.169998,47.330002,47.709998999999996,41.56366,684100,HRS
2013-03-04,47.509997999999996,47.73,47.049999,47.330002,41.232616,489700,HRS
2013-03-05,47.330002,47.509997999999996,47.02,47.23,41.469685,620900,HRS
2013-03-06,46.790001000000004,46.799999,45.389998999999996,45.73,40.15263,1751900,HRS
2013-03-07,45.75,46.23,45.48,45.740002000000004,40.161423,785900,HRS
2013-03-08,45.939999,46.0,45.080002,45.419998,39.880451,1025800,HRS
2013-03-11,45.380001,45.450001,44.59,44.82,39.353615000000005,1315200,HRS
2013-03-12,44.799999,44.950001,44.470001,44.93,39.450207,1218700,HRS
2013-03-13,44.939999,45.43,44.66,45.259997999999996,39.739956,878700,HRS
2013-03-14,45.439999,45.5,44.77,44.889998999999996,39.415085,854300,HRS
2013-03-15,44.740002000000004,44.93,44.220001,44.360001000000004,38.949721999999994,1579100,HRS
2013-03-18,43.919998,44.610001000000004,43.75,44.299999,38.897040999999994,811500,HRS
2013-03-19,44.470001,46.110001000000004,44.110001000000004,44.610001000000004,39.169239000000005,1140600,HRS
2013-03-20,44.889998999999996,45.16,44.700001,44.98,39.494114,763400,HRS
2013-03-21,44.580002,44.91,44.130001,44.130001,38.747787,963400,HRS
2013-03-22,44.259997999999996,44.310001,43.700001,43.990002000000004,38.624855,952300,HRS
2013-03-25,44.049999,44.709998999999996,44.029999,44.630001,39.186794,1092400,HRS
2013-03-26,44.82,45.040001000000004,44.669998,44.900002,39.423862,924800,HRS
2013-03-27,44.66,45.380001,44.32,45.290001000000004,39.766289,849300,HRS
2013-03-28,45.349998,46.580002,45.009997999999996,46.34,40.688244,1314800,HRS
2013-04-01,46.290001000000004,46.290001000000004,45.75,46.040001000000004,40.424831,1050100,HRS
2013-04-02,46.360001000000004,46.5,45.93,46.25,40.609211,778200,HRS
2013-04-03,46.32,46.66,45.59,45.799999,40.214092,773500,HRS
2013-04-04,45.639998999999996,45.790001000000004,45.099998,45.27,39.748737,597400,HRS
