Date,Open,High,Low,Close,Adj Close,Volume,stock
2013-01-02,27.620001000000002,27.91,27.48,27.75,23.125822,1308400,LEG
2013-01-03,27.76,28.280001000000002,27.620001000000002,27.889999,23.242495,1115300,LEG
2013-01-04,27.99,28.16,27.83,28.02,23.350832,816200,LEG
2013-01-07,27.889999,27.91,27.33,27.4,22.834139,1405800,LEG
2013-01-08,27.299999,27.59,27.25,27.48,22.900816,1031700,LEG
2013-01-09,27.549999,27.870001000000002,27.459999,27.559998999999998,22.967482,849500,LEG
2013-01-10,27.709999,27.879998999999998,27.51,27.879998999999998,23.234157999999997,1256200,LEG
2013-01-11,27.969998999999998,28.200001,27.870001000000002,28.0,23.33416,778800,LEG
2013-01-14,27.84,28.299999,27.84,28.049999,23.375822,942700,LEG
2013-01-15,27.92,28.209999,27.77,28.190001000000002,23.492501999999998,732400,LEG
2013-01-16,28.110001,28.18,27.879998999999998,28.1,23.417498000000002,600200,LEG
2013-01-17,28.24,28.719998999999998,28.17,28.6,23.834179000000002,1409600,LEG
2013-01-18,28.66,28.709999,28.219998999999998,28.549999,23.792513,3297100,LEG
2013-01-22,28.57,28.99,28.469998999999998,28.85,24.042519,1024300,LEG
2013-01-23,28.85,29.25,28.82,29.24,24.367531,1062300,LEG
2013-01-24,29.32,29.610001,29.200001,29.42,24.517534,1090900,LEG
2013-01-25,29.629998999999998,29.77,29.389999,29.57,24.64254,1002900,LEG
2013-01-28,29.559998999999998,29.639999,29.0,29.530001000000002,24.609207,1137500,LEG
2013-01-29,29.530001000000002,29.73,29.440001000000002,29.709999,24.759211999999998,822500,LEG
2013-01-30,29.709999,29.77,29.469998999999998,29.700001,24.750879,1120500,LEG
2013-01-31,29.620001000000002,29.92,29.35,29.440001000000002,24.534208,1904700,LEG
2013-02-01,29.68,29.9,29.48,29.57,24.64254,1727500,LEG
2013-02-04,29.4,29.549999,28.950001,29.040001,24.200863000000002,1971100,LEG
2013-02-05,29.379998999999998,29.950001,29.15,29.6,24.667542,2954700,LEG
2013-02-06,29.52,29.639999,29.190001000000002,29.42,24.517534,2087800,LEG
2013-02-07,29.440001000000002,29.77,29.219998999999998,29.75,24.792545,2581900,LEG
2013-02-08,29.790001,29.870001000000002,29.52,29.74,24.78421,1203200,LEG
2013-02-11,29.76,29.84,29.51,29.58,24.650869,949900,LEG
2013-02-12,29.73,30.07,29.65,29.9,24.917553,1322600,LEG
2013-02-13,29.950001,30.360001,29.950001,30.24,25.200893,1440300,LEG
2013-02-14,30.129998999999998,30.639999,30.059998999999998,30.6,25.500908,1575500,LEG
2013-02-15,30.540001,30.879998999999998,30.41,30.700001,25.584244,1393200,LEG
2013-02-19,30.75,30.83,30.469998999999998,30.65,25.542572,1256900,LEG
2013-02-20,30.639999,30.77,29.92,29.92,24.934217,1347700,LEG
2013-02-21,29.950001,29.950001,29.450001,29.66,24.717543,1491800,LEG
2013-02-22,29.75,29.889999,29.6,29.780001000000002,24.817547,999800,LEG
2013-02-25,29.92,29.98,29.16,29.190001000000002,24.325861,1243900,LEG
2013-02-26,29.33,29.700001,29.129998999999998,29.639999,24.700874,914300,LEG
2013-02-27,29.639999,30.57,29.639999,30.42,25.350901,1203000,LEG
2013-02-28,30.41,30.77,30.32,30.58,25.484238,958800,LEG
2013-03-01,30.459999,30.74,30.219998999999998,30.67,25.55924,993600,LEG
2013-03-04,30.530001000000002,30.98,30.5,30.879998999999998,25.734245,1190500,LEG
2013-03-05,31.0,31.49,30.940001000000002,31.459999,26.217598,1022600,LEG
2013-03-06,31.59,31.68,31.32,31.469998999999998,26.225933,941800,LEG
2013-03-07,31.49,31.639999,31.309998999999998,31.610001,26.342602000000003,687000,LEG
2013-03-08,31.809998999999998,31.969998999999998,31.549999,31.889999,26.575939,817200,LEG
2013-03-11,31.879998999999998,32.490002000000004,31.879998999999998,32.310001,26.925957,1183500,LEG
2013-03-12,32.310001,32.52,32.099998,32.52,27.100958000000002,998100,LEG
2013-03-13,32.25,32.400002,31.91,32.32,27.176638,872800,LEG
2013-03-14,32.400002,32.52,32.32,32.48,27.311171999999996,806200,LEG
2013-03-15,31.940001000000002,32.330002,31.93,32.220001,27.092553999999996,1703000,LEG
2013-03-18,31.9,32.540001000000004,31.9,32.34,27.193455,1069700,LEG
2013-03-19,32.419998,32.66,32.169998,32.509997999999996,27.336401000000002,977300,LEG
2013-03-20,32.68,33.189999,32.549999,33.09,27.8241,1230600,LEG
2013-03-21,32.919998,33.029999,32.549999,32.630001,27.437303999999997,1249100,LEG
2013-03-22,32.700001,32.98,32.560001,32.84,27.613882,901500,LEG
2013-03-25,32.900002,33.080002,32.400002,32.810001,27.588663,1342900,LEG
2013-03-26,32.880001,33.240002000000004,32.849998,33.169998,27.891365000000004,749600,LEG
2013-03-27,32.860001000000004,33.380001,32.860001000000004,33.330002,28.025913,828800,LEG
2013-03-28,33.27,33.799999,33.27,33.779999,28.404296999999996,1074800,LEG
2013-04-01,33.779999,33.869999,33.330002,33.490002000000004,28.160446000000004,1150000,LEG
2013-04-02,33.549999,33.82,33.360001000000004,33.529999,28.19408,904300,LEG
2013-04-03,33.48,33.540001000000004,32.25,32.509997999999996,27.336401000000002,1497200,LEG
2013-04-04,32.59,32.889998999999996,32.459998999999996,32.630001,27.437303999999997,1094200,LEG
2013-04-05,32.099998,32.639998999999996,31.57,32.630001,27.437303999999997,1092400,LEG
2013-04-08,32.669998,33.220001,32.599998,33.209998999999996,27.925007,1290900,LEG
2013-04-09,33.259997999999996,33.299999,32.650002,32.889998999999996,27.655929999999998,1032400,LEG
2013-04-10,33.0,33.43,32.91,33.369999,28.059544,1342800,LEG
2013-04-11,33.43,34.0,33.380001,33.790001000000004,28.412706,1000900,LEG
2013-04-12,33.66,34.07,33.630001,33.790001000000004,28.412706,800500,LEG
2013-04-15,33.639998999999996,33.75,32.549999,32.549999,27.370039000000002,1180100,LEG
2013-04-16,32.880001,33.220001,32.529999,33.220001,27.933414000000003,1032000,LEG
2013-04-17,33.02,33.02,32.259997999999996,32.48,27.311171999999996,1248400,LEG
2013-04-18,32.580002,32.639998999999996,31.809998999999998,31.93,26.848703000000004,1090000,LEG
2013-04-19,31.809998999999998,32.669998,31.66,32.48,27.311171999999996,1807200,LEG
2013-04-22,32.549999,32.919998,32.189999,32.830002,27.605473999999997,613500,LEG
2013-04-23,33.049999,33.540001000000004,32.880001,33.400002,28.084766,916800,LEG
2013-04-24,33.439999,33.560001,33.209998999999996,33.380001,28.067951,580300,LEG
2013-04-25,33.57,33.880001,33.459998999999996,33.650002,28.294987,958400,LEG
2013-04-26,32.82,32.970001,32.080002,32.580002,27.395259999999997,1805200,LEG
