Date,Open,High,Low,Close,Adj Close,Volume,stock
2013-01-02,11.22,11.56,11.11,11.48,11.48,2975800,TTWO
2013-01-03,11.5,11.96,11.42,11.88,11.88,2344900,TTWO
2013-01-04,11.93,12.26,11.92,12.2,12.2,1798800,TTWO
2013-01-07,12.11,12.37,12.08,12.16,12.16,1237600,TTWO
2013-01-08,12.1,12.15,11.78,11.78,11.78,1129400,TTWO
2013-01-09,11.87,12.09,11.53,11.92,11.92,1419600,TTWO
2013-01-10,12.05,12.22,11.97,11.98,11.98,1592700,TTWO
2013-01-11,11.96,12.39,11.88,12.31,12.31,1100500,TTWO
2013-01-14,12.25,12.39,12.12,12.2,12.2,742100,TTWO
2013-01-15,12.14,12.51,12.06,12.46,12.46,805800,TTWO
2013-01-16,12.53,12.53,12.27,12.3,12.3,1121800,TTWO
2013-01-17,12.41,12.71,12.41,12.49,12.49,1192500,TTWO
2013-01-18,12.5,12.7,12.45,12.52,12.52,924500,TTWO
2013-01-22,12.49,12.54,12.41,12.54,12.54,1256000,TTWO
2013-01-23,12.54,12.61,12.47,12.53,12.53,874400,TTWO
2013-01-24,12.49,12.7,12.35,12.61,12.61,599600,TTWO
2013-01-25,12.7,12.92,12.6,12.82,12.82,945100,TTWO
2013-01-28,13.01,13.17,12.82,13.12,13.12,1204000,TTWO
2013-01-29,13.16,13.2,12.93,13.06,13.06,1374700,TTWO
2013-01-30,13.1,13.19,12.96,13.06,13.06,1119400,TTWO
2013-01-31,12.99,13.3,11.55,12.17,12.17,6081400,TTWO
2013-02-01,12.18,12.88,12.18,12.78,12.78,2039500,TTWO
2013-02-04,12.77,12.88,12.26,12.51,12.51,1363000,TTWO
2013-02-05,12.56,12.75,12.5,12.66,12.66,1768200,TTWO
2013-02-06,13.5,14.58,13.4,14.44,14.44,9115400,TTWO
2013-02-07,14.48,14.91,14.31,14.8,14.8,3324100,TTWO
2013-02-08,14.93,15.18,14.81,15.04,15.04,3274100,TTWO
2013-02-11,14.99,15.28,14.7,15.13,15.13,2959300,TTWO
2013-02-12,15.17,15.29,14.84,14.86,14.86,2068300,TTWO
2013-02-13,14.94,15.04,14.62,14.91,14.91,2525700,TTWO
2013-02-14,14.81,15.07,14.56,14.97,14.97,2661000,TTWO
2013-02-15,15.05,15.29,15.04,15.08,15.08,2170500,TTWO
2013-02-19,14.99,15.57,14.86,15.52,15.52,3996800,TTWO
2013-02-20,15.54,15.64,15.1,15.11,15.11,2046300,TTWO
2013-02-21,14.88,15.0,14.64,14.9,14.9,2952900,TTWO
2013-02-22,15.03,15.11,14.88,14.95,14.95,1521200,TTWO
2013-02-25,15.08,15.27,14.91,14.93,14.93,2638400,TTWO
2013-02-26,15.01,15.09,14.8,14.89,14.89,1297000,TTWO
2013-02-27,14.82,14.99,14.74,14.81,14.81,1273600,TTWO
2013-02-28,14.81,15.0,14.6,14.64,14.64,1256100,TTWO
2013-03-01,14.53,14.81,14.47,14.72,14.72,2696700,TTWO
2013-03-04,14.72,15.07,14.71,14.99,14.99,2011700,TTWO
2013-03-05,15.07,15.25,14.96,15.0,15.0,936100,TTWO
2013-03-06,15.26,15.65,15.13,15.43,15.43,2625800,TTWO
2013-03-07,15.36,15.51,15.27,15.41,15.41,1036200,TTWO
2013-03-08,15.49,15.53,15.26,15.42,15.42,1124100,TTWO
2013-03-11,15.36,15.63,15.23,15.58,15.58,766100,TTWO
2013-03-12,15.5,15.64,15.4,15.54,15.54,887800,TTWO
2013-03-13,15.59,15.76,15.44,15.58,15.58,1084700,TTWO
2013-03-14,15.56,16.049999,15.53,15.93,15.93,1886800,TTWO
2013-03-15,15.96,15.96,15.55,15.68,15.68,1572300,TTWO
2013-03-18,15.38,15.63,15.22,15.48,15.48,610100,TTWO
2013-03-19,15.52,15.59,15.05,15.23,15.23,1249400,TTWO
2013-03-20,15.29,15.8,15.25,15.66,15.66,1133300,TTWO
2013-03-21,15.59,15.97,15.56,15.59,15.59,1002500,TTWO
2013-03-22,15.61,15.75,15.38,15.5,15.5,834800,TTWO
2013-03-25,15.57,16.030001000000002,15.57,15.87,15.87,1273500,TTWO
2013-03-26,16.01,16.1,15.87,16.02,16.02,1261400,TTWO
2013-03-27,15.9,16.139999,15.86,16.059998999999998,16.059998999999998,667700,TTWO
2013-03-28,16.040001,16.16,15.76,16.15,16.15,1036200,TTWO
2013-04-01,16.0,16.129998999999998,15.78,15.89,15.89,956500,TTWO
2013-04-02,15.96,15.99,15.28,15.6,15.6,1470300,TTWO
2013-04-03,15.6,15.73,15.09,15.36,15.36,1023600,TTWO
2013-04-04,15.4,15.5,15.13,15.44,15.44,693800,TTWO
2013-04-05,15.31,15.42,15.07,15.42,15.42,701600,TTWO
2013-04-08,15.48,15.57,15.31,15.54,15.54,799400,TTWO
2013-04-09,15.53,15.71,15.45,15.6,15.6,647400,TTWO
2013-04-10,15.65,15.95,15.59,15.87,15.87,1457500,TTWO
2013-04-11,15.88,15.93,15.65,15.7,15.7,691100,TTWO
2013-04-12,15.58,15.79,15.4,15.78,15.78,974600,TTWO
2013-04-15,15.57,15.6,14.7,15.1,15.1,2233700,TTWO
2013-04-16,15.19,15.3,14.87,14.94,14.94,1189000,TTWO
2013-04-17,14.74,14.75,14.25,14.45,14.45,1906800,TTWO
2013-04-18,14.53,14.53,14.08,14.32,14.32,1458200,TTWO
2013-04-19,14.32,14.96,14.25,14.86,14.86,1852100,TTWO
2013-04-22,14.99,15.18,14.68,15.06,15.06,1178900,TTWO
2013-04-23,15.14,15.34,14.9,15.32,15.32,962200,TTWO
2013-04-24,15.38,15.88,15.33,15.86,15.86,2293700,TTWO
2013-04-25,15.89,15.99,15.45,15.51,15.51,1015500,TTWO
2013-04-26,15.42,15.76,15.42,15.6,15.6,648500,TTWO
2013-04-29,15.63,15.75,15.41,15.46,15.46,552000,TTWO
2013-04-30,15.39,15.42,15.0,15.26,15.26,1091800,TTWO
2013-05-01,15.16,15.3,14.87,15.11,15.11,2150300,TTWO
2013-05-02,15.16,15.37,15.02,15.3,15.3,2651500,TTWO
2013-05-03,15.48,15.96,15.35,15.68,15.68,1979800,TTWO
2013-05-06,15.79,15.83,15.58,15.61,15.61,630500,TTWO
2013-05-07,15.69,15.89,15.51,15.75,15.75,1332600,TTWO
2013-05-08,15.86,16.68,15.82,16.219998999999998,16.219998999999998,2800300,TTWO
2013-05-09,16.129998999999998,16.200001,15.78,15.99,15.99,1776800,TTWO
2013-05-10,15.97,16.530001000000002,15.87,16.440001000000002,16.440001000000002,4905400,TTWO
2013-05-13,16.6,16.6,16.129998999999998,16.389999,16.389999,3555900,TTWO
2013-05-14,17.51,17.540001,16.23,16.540001,16.540001,9084500,TTWO
2013-05-15,16.51,16.629998999999998,16.08,16.34,16.34,2986200,TTWO
2013-05-16,16.32,16.41,15.95,16.02,16.02,1580700,TTWO
2013-05-17,16.0,16.440001000000002,15.86,16.33,16.33,2190000,TTWO
2013-05-20,16.290001,16.52,16.16,16.209999,16.209999,1187400,TTWO
2013-05-21,16.26,16.26,15.99,16.07,16.07,1236700,TTWO
2013-05-22,16.0,16.35,15.83,15.88,15.88,1693900,TTWO
2013-05-23,15.75,16.0,15.56,15.95,15.95,1346400,TTWO
2013-05-24,15.85,16.110001,15.73,16.02,16.02,1760600,TTWO
2013-05-28,16.23,16.5,16.08,16.280001000000002,16.280001000000002,1389700,TTWO
2013-05-29,16.25,16.51,16.07,16.450001,16.450001,1560000,TTWO
2013-05-30,16.530001000000002,16.75,16.459999,16.66,16.66,1127800,TTWO
2013-05-31,16.57,16.959999,16.549999,16.639999,16.639999,1777700,TTWO
2013-06-03,16.290001,16.59,15.87,16.26,16.26,3265900,TTWO
2013-06-04,16.120001000000002,16.450001,15.92,16.08,16.08,1067600,TTWO
2013-06-05,16.0,16.209999,15.86,15.98,15.98,1113800,TTWO
2013-06-06,15.92,16.1,15.75,16.08,16.08,1258700,TTWO
2013-06-07,16.43,17.200001,16.209999,16.98,16.98,2930900,TTWO
2013-06-10,17.059998999999998,17.129998999999998,16.51,16.540001,16.540001,1437100,TTWO
2013-06-11,17.0,17.35,16.73,16.809998999999998,16.809998999999998,4404500,TTWO
2013-06-12,16.6,16.65,15.25,15.37,15.37,7221300,TTWO
2013-06-13,15.35,15.52,15.06,15.5,15.5,4388500,TTWO
2013-06-14,15.47,15.57,15.3,15.46,15.46,1866500,TTWO
2013-06-17,15.58,15.88,15.44,15.59,15.59,1412700,TTWO
2013-06-18,15.66,15.85,15.52,15.66,15.66,1302400,TTWO
2013-06-19,15.6,15.67,15.19,15.36,15.36,1506500,TTWO
2013-06-20,15.21,15.43,14.93,15.12,15.12,2144200,TTWO
2013-06-21,15.15,15.44,15.01,15.04,15.04,2032000,TTWO
2013-06-24,14.84,14.89,14.25,14.53,14.53,3275800,TTWO
2013-06-25,14.66,14.77,14.49,14.63,14.63,1948800,TTWO
2013-06-26,14.74,14.75,14.1,14.21,14.21,2702000,TTWO
2013-06-27,14.28,14.66,14.26,14.57,14.57,1814200,TTWO
2013-06-28,14.6,15.1,14.4,14.97,14.97,2030600,TTWO
2013-07-01,15.22,15.49,15.05,15.37,15.37,1691800,TTWO
2013-07-02,15.4,15.6,15.15,15.44,15.44,1757200,TTWO
2013-07-03,15.35,15.56,15.2,15.43,15.43,692300,TTWO
2013-07-05,15.71,15.74,15.38,15.7,15.7,1099700,TTWO
2013-07-08,15.77,16.0,15.23,15.51,15.51,2007700,TTWO
2013-07-09,15.73,15.85,15.39,15.81,15.81,1361500,TTWO
2013-07-10,15.85,16.01,15.7,15.9,15.9,1063300,TTWO
2013-07-11,16.209999,16.209999,15.72,16.040001,16.040001,2093700,TTWO
2013-07-12,16.0,16.129998999999998,15.78,15.88,15.88,1271900,TTWO
2013-07-15,15.99,16.08,15.87,15.92,15.92,845100,TTWO
2013-07-16,15.97,16.049999,15.71,15.91,15.91,1332500,TTWO
2013-07-17,15.98,16.43,15.79,16.309998999999998,16.309998999999998,2760900,TTWO
2013-07-18,16.389999,16.68,16.370001000000002,16.43,16.43,1747700,TTWO
2013-07-19,16.370001000000002,16.75,16.23,16.68,16.68,1410700,TTWO
