Date,Open,High,Low,Close,Adj Close,Volume,stock
2013-01-02,68.93,69.239998,68.449997,69.239998,59.678989,10390800,WMT
2013-01-03,69.25,69.349998,68.379997,68.800003,59.299744,8910100,WMT
2013-01-04,68.730003,69.18,68.339996,69.059998,59.523869,6438000,WMT
2013-01-07,68.83000200000001,68.91999799999999,68.129997,68.400002,58.954987,6201400,WMT
2013-01-08,68.279999,68.889999,68.209999,68.589996,59.118759,5866900,WMT
2013-01-09,68.660004,68.709999,68.220001,68.57,59.101517,5055200,WMT
2013-01-10,68.660004,69.029999,67.720001,68.360001,58.920508999999996,11453800,WMT
2013-01-11,68.599998,68.790001,68.209999,68.629997,59.153214,6224500,WMT
2013-01-14,68.489998,68.66999799999999,68.110001,68.300003,58.868805,5490400,WMT
2013-01-15,68.190002,69.239998,68.099998,68.980003,59.45489499999999,6140400,WMT
2013-01-16,68.940002,69.370003,68.889999,69.209999,59.653137,4917900,WMT
2013-01-17,69.300003,69.32,68.709999,68.849998,59.342854,7232600,WMT
2013-01-18,68.849998,69.199997,68.849998,69.199997,59.644527000000004,7813400,WMT
2013-01-22,69.050003,69.650002,68.959999,69.58000200000001,59.972061,5747900,WMT
2013-01-23,69.389999,69.639999,69.150002,69.489998,59.89447,6365400,WMT
2013-01-24,69.650002,69.989998,69.349998,69.790001,60.153071999999995,9139000,WMT
2013-01-25,69.910004,70.0,68.93,69.0,59.472141,7967700,WMT
2013-01-28,69.08000200000001,69.5,68.800003,69.349998,59.773815,7054800,WMT
2013-01-29,69.209999,70.199997,69.199997,69.889999,60.239243,9560900,WMT
2013-01-30,70.120003,70.120003,69.5,69.75,60.118572,7020600,WMT
2013-01-31,69.690002,70.440002,69.690002,69.949997,60.290943000000006,7016200,WMT
2013-02-01,70.110001,70.540001,69.949997,70.489998,60.756401000000004,6449800,WMT
2013-02-04,69.440002,69.900002,69.129997,69.629997,60.015141,10759300,WMT
2013-02-05,69.870003,71.07,69.760002,70.769997,60.997726,10525500,WMT
2013-02-06,70.480003,71.32,70.300003,71.309998,61.463145999999995,9757800,WMT
2013-02-07,71.440002,71.639999,70.900002,71.230003,61.394222,8306900,WMT
2013-02-08,71.199997,71.639999,71.07,71.480003,61.609688,5906600,WMT
2013-02-11,71.25,71.510002,70.529999,71.400002,61.540737,6202600,WMT
2013-02-12,71.489998,71.660004,71.099998,71.400002,61.540737,4762000,WMT
2013-02-13,71.290001,71.699997,71.209999,71.389999,61.53211999999999,3968600,WMT
2013-02-14,71.099998,71.230003,70.75,70.82,61.040825,6821000,WMT
2013-02-15,69.540001,70.0,68.129997,69.300003,59.730720999999996,25683700,WMT
2013-02-19,69.190002,69.449997,68.540001,68.760002,59.265269999999994,14682300,WMT
2013-02-20,68.720001,69.849998,68.300003,69.209999,59.653137,11973600,WMT
2013-02-21,70.0,71.470001,69.720001,70.260002,60.558163,20413100,WMT
2013-02-22,70.220001,70.540001,69.889999,70.400002,60.678833,9165200,WMT
2013-02-25,70.5,71.339996,70.440002,70.440002,60.713306,11817600,WMT
2013-02-26,70.690002,71.389999,70.610001,71.110001,61.290779,10557600,WMT
2013-02-27,70.91999799999999,71.959999,70.58000200000001,71.660004,61.764846999999996,8819000,WMT
